resource name	resource url	new source ending
Qatar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_qatar.tar.gz	&country=QA
Macedonia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_macedonia.tar.gz	&country=MK
Republic of the Congo	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_repubcongo.tar.gz	&country=CG
Romania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_romania.tar.gz	&country=RO
Saint Kitts and Nevis Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saintkittsandnevis.tar.gz	&country=KN
Samoa Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_samoa.tar.gz	&country=WS
San Marino Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sanmarino.tar.gz	&country=SM
São Tomé and Príncipe Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saotomeprincipe.tar.gz	&country=ST
Saudi Arabia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_saudiarabia.tar.gz	&country=SA
Senegal Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_senegal.tar.gz	&country=SN
Serbia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_serbia.tar.gz	&country=RS
Seychelles Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_seychelles.tar.gz	&country=SC
Sierra Leone Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sierraleone.tar.gz	&country=SL
Singapore Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_singapore.tar.gz	&country=SG
Sint Maarten Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sintmaarten.tar.gz	&country=SX
Slovakia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_slovakia.tar.gz	&country=SK
Slovenia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_slovenia.tar.gz	&country=SI
Solomon Islands Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_solomonislands.tar.gz	&country=SB
Somalia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_somalia.tar.gz	&country=SO
South Africa Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southafrica.tar.gz	&country=ZA
South Korea Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southkorea.tar.gz	&country=KR
South Sudan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southsudan.tar.gz	&country=SS
Spain Species List (untrusted)	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_spain.tar.gz	&country=ES
Sri Lanka Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_srilanka.tar.gz	&country=LK
Sudan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sudan.tar.gz	&country=SD
Suriname Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_suriname.tar.gz	&country=SR
Swaziland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_swaziland.tar.gz	&country=SZ
Sweden Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_sweden.tar.gz	&country=SE
Switzerland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_switzerland.tar.gz	&country=CH
Taiwan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_taiwan.tar.gz	&country=TW
Tajikistan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_tajikistan.tar.gz	&country=TJ
