resource name	resource url	new source ending
North Atlantic Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_northatlantic.tar.gz	&geometry=POLYGON((-4.13635%2058.95744,-13.65807%2064.69986,-18.49205%2062.58293,-30.10185%2067.81105,-39.75677%2064.37302,-42.9641%2059.4175,-52.95067%2046.07666,-73.11813%2040.27519,-81.03859%2030.26802,-71.41182%2020.80399,-61.08879%2018.20366,-59.84871%209.692,-56.76704%206.21964,-8.34686%203.99147,-17.51907%2012.28683,-17.22382%2022.75749,-8.5144%2034.32541,-9.91516%2050.04478,-9.67409%2047.556,-10.26329%2054.27795,-4.13635%2058.95744))
South Atlantic Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southatlantic.tar.gz	&geometry=POLYGON((-66.75018%20-63.3197,20.51559%20-63.0574,20.0116%20-35.44876,14.6077%20-26.66656,11.60431%20-18.26889,13.32367%20-11.01105,7.92046%200.18333,-49.45084%200.28908,-41.89774%20-2.67792,-38.16376%20-3.14758,-34.00681%20-7.09373,-38.2077%20-14.12018,-40.19348%20-23.12828,-48.08853%20-25.97374,-47.76649%20-29.39049,-57.27516%20-39.12849,-66.40961%20-46.63078,-63.80035%20-48.02948,-67.93327%20-51.28693,-63.95416%20-55.18639,-66.47003%20-56.14975,-66.75018%20-63.3197))
South Pacific Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_southpacific.tar.gz	&geometry=POLYGON((-69.5208%20-55.74669,-76.44768%20-51.64948,-70.49721%20-19.53163,-75.99586%20-16.12312,-82.01431%20-5.93742,-81.18622%20-1.29639,-179.89494%20-2.09358,-179.71436%20-63.65479,-69.2942%20-62.96402,-69.5208%20-55.74669))
