Index	higherClassification
Angiosperms	.*?\|Anagallis\|.*?
Angiosperms	.*?\|Anagyris\|.*?
Angiosperms	.*?\|Anastatica\|.*?
Angiosperms	.*?\|Anchusa\|.*?
Angiosperms	.*?\|Androsace\|.*?
Angiosperms	.*?\|Andryala\|.*?
Angiosperms	.*?\|Anethum\|.*?
Angiosperms	.*?\|Angiosperms\|.*?
Angiosperms	.*?\|Angiosperms\|(.*?\|)?Punica\|.*?
Angiosperms	.*?\|Anisophylleaceae\|.*?
Angiosperms	.*?\|Annonaceae\|.*?
Angiosperms	.*?\|Anthericum\|.*?
Angiosperms	.*?\|Antholithes\|.*?
Angiosperms	.*?\|Antholyza\|.*?
Angiosperms	.*?\|Anthoxanthum\|.*?
Angiosperms	.*?\|Anthyllis\|.*?
Angiosperms	.*?\|Antirrhinum\|.*?
Angiosperms	.*?\|Apiaceae\|.*?
Angiosperms	.*?\|Apiales\|.*?
Angiosperms	.*?\|Apocynaceae\|.*?
Angiosperms	.*?\|Apocynum\|.*?
Angiosperms	.*?\|Apodanthaceae\|.*?
Angiosperms	.*?\|Aptiana\|.*?
Angiosperms	.*?\|Aquifoliaceae\|.*?
Angiosperms	.*?\|Aquifoliales\|.*?
Angiosperms	.*?\|Aquilegia\|.*?
Angiosperms	.*?\|Arabis\|.*?
Angiosperms	.*?\|Araceae\|.*?
Angiosperms	.*?\|Araliaceae\|.*?
Angiosperms	.*?\|Arctium\|.*?
Angiosperms	.*?\|Arecaceae\|.*?
Angiosperms	.*?\|Arecales\|.*?
Angiosperms	.*?\|Arecopsis\|.*?
Angiosperms	.*?\|Argemone\|.*?
Angiosperms	.*?\|Aristida\|.*?
Angiosperms	.*?\|Aristolochiaceae\|.*?
Angiosperms	.*?\|Artedia\|.*?
Angiosperms	.*?\|Asarum\|.*?
Angiosperms	.*?\|Asclepiadaceae\|.*?
Angiosperms	.*?\|Asclepias\|.*?
Angiosperms	.*?\|Ascyrum\|.*?
Angiosperms	.*?\|Aspalathus\|.*?
Angiosperms	.*?\|Asparagaceae\|.*?
Angiosperms	.*?\|Asparagales\|.*?
Angiosperms	.*?\|Asparagus\|.*?
Angiosperms	.*?\|Asperugo\|.*?
Angiosperms	.*?\|Asteraceae\|.*?
Angiosperms	.*?\|Asterales\|.*?
Angiosperms	.*?\|Astrantia\|.*?
Angiosperms	.*?\|Astrocaryopsis\|.*?
Angiosperms	.*?\|Athamanta\|.*?
Angiosperms	.*?\|Atragene\|.*?
Angiosperms	.*?\|Atraphaxis\|.*?
Angiosperms	.*?\|Atropa\|.*?
Angiosperms	.*?\|Averrhoa\|.*?
Angiosperms	.*?\|Azalea\|.*?
Angiosperms	.*?\|Baccharis\|.*?
Angiosperms	.*?\|Baccharites\|.*?
Angiosperms	.*?\|Baccites\|.*?
Angiosperms	.*?\|Balanophoraceae\|.*?
Angiosperms	.*?\|Ballota\|.*?
Angiosperms	.*?\|Balsaminaceae\|.*?
Angiosperms	.*?\|Barleria\|.*?
Angiosperms	.*?\|Barreria\|.*?
Angiosperms	.*?\|Bartsia\|.*?
Angiosperms	.*?\|Basella\|.*?
Angiosperms	.*?\|Basellaceae\|.*?
Angiosperms	.*?\|Bataceae\|.*?
Angiosperms	.*?\|Begoniaceae\|.*?
