Index	higherClassification
Psocodea	Animalia|Arthropoda|Insecta|Psocoptera|*
Neuropterida	Animalia|Arthropoda|Insecta|Raphidioptera|*
Insecta	Animalia|Arthropoda|Insecta|Siphonaptera|*
Arachnida	Animalia|Arthropoda|Insecta|Spelaeorhynchi|*
Insecta	Animalia|Arthropoda|Insecta|Strepsiptera|*
Insecta	Animalia|Arthropoda|Insecta|Thysanoptera|*
Insecta	Animalia|Arthropoda|Insecta|Thysanura|*
Trichoptera	Animalia|Arthropoda|Insecta|Trichoptera|*
Insecta	Animalia|Arthropoda|Insecta|Zoraptera|*
Insecta	Animalia|Arthropoda|Insecta|Zygentoma|*
Crustacea	Animalia|Arthropoda|Itea|*
Arachnida	Animalia|Arthropoda|Ixodida|*
Crustacea	Animalia|Arthropoda|Lepadiformes|*
Crustacea	Animalia|Arthropoda|Malacostraca|*
Crustacea	Animalia|Arthropoda|Maxillopoda|*
Arthropoda	Animalia|Arthropoda|Merostomata|*
Arachnida	Animalia|Arthropoda|Mesostigmata|*
Crustacea	Animalia|Arthropoda|Mystacocaridida|*
Arachnida	Animalia|Arthropoda|Opiliones|*
Crustacea	Animalia|Arthropoda|Orthocarpus|*
Crustacea	Animalia|Arthropoda|Ostracoda|*
Crustacea	Animalia|Arthropoda|Paranephrops|*
Myriapoda	Animalia|Arthropoda|Pauropoda|*
Crustacea	Animalia|Arthropoda|Peltarion|*
Crustacea	Animalia|Arthropoda|Polyascidae|*
Arthropoda	Animalia|Arthropoda|Protura|*
Arachnida	Animalia|Arthropoda|Pseudoscorpiones|*
Arthropoda	Animalia|Arthropoda|Pycnogonida|*
Crustacea	Animalia|Arthropoda|Remipedia|*
Arachnida	Animalia|Arthropoda|Sarcoptiformes|*
Arachnida	Animalia|Arthropoda|Scorpiones|*
Crustacea	Animalia|Arthropoda|Sessilia|*
Arachnida	Animalia|Arthropoda|Solifugae|*
Myriapoda	Animalia|Arthropoda|Symphyla|*
Crustacea	Animalia|Arthropoda|Thecostraca|*
Trilobita	Animalia|Arthropoda|Trilobita|*
Arachnida	Animalia|Arthropoda|Trombidiformes|*
Arachnida	Animalia|Arthropoda|Uropygi|*
Diptera	Animalia|Aspilia|*
Hymenoptera	Animalia|Australia|*
Tetrapoda	Animalia|Aves|*
Lepidoptera	Animalia|Baeotis|*
Crustacea	Animalia|Balanomorpha|*
Lepidoptera	Animalia|Barbicornis|*
Actinopterygii	Animalia|Barbus|*
Coleoptera	Animalia|Bargus|*
Brachiopoda	Animalia|Brachiopoda|*
Flatworms	Animalia|Brachylaemus|*
Bryozoa	Animalia|Bryozoa|*
Lepidoptera	Animalia|Calephelis|*
Actinopterygii	Animalia|Catastoma|*
Gastropoda	Animalia|Cavolinidae|*
Tetrapoda	Animalia|Centrocercus|*
Coleoptera	Animalia|Cephalodonta|*
Animals	Animalia|Cephalorhyncha|*
Animals	Animalia|Chaetognatha|*
Animals	Animalia|Chancelloriidae|*
Protists	Animalia|Chelonemonas|*
Tetrapoda	Animalia|Chiroptera|*
Animals	Animalia|Chordata|
Actinopterygii	Animalia|Chordata|Acipenseriformes|*
Actinopterygii	Animalia|Chordata|Actinopteri|*
Actinopterygii	Animalia|Chordata|Actinopterygii|*
Actinopterygii	Animalia|Chordata|Albuliformes|*
Actinopterygii	Animalia|Chordata|Amiiformes|*
Tetrapoda	Animalia|Chordata|Amphibia|*
Actinopterygii	Animalia|Chordata|Anguilliformes|*
Tetrapoda	Animalia|Chordata|Anolidae|*
Tunicata	Animalia|Chordata|Appendicularia|*
Tunicata	Animalia|Chordata|Ascidiacea|*
Actinopterygii	Animalia|Chordata|Atheriniformes|*
Actinopterygii	Animalia|Chordata|Aulopiformes|*
Tetrapoda	Animalia|Chordata|Aves|*
Actinopterygii	Animalia|Chordata|Bagrus|*
Actinopterygii	Animalia|Chordata|Batrachoidiformes|*
Actinopterygii	Animalia|Chordata|Beloniformes|*
Actinopterygii	Animalia|Chordata|Beryciformes|*
Tetrapoda	Animalia|Chordata|Bothrops|*
Actinopterygii	Animalia|Chordata|Cassandra|*
Vertebrata	Animalia|Chordata|Cephalaspidomorphi|*
Tetrapoda	Animalia|Chordata|Ceratophallus|*
Actinopterygii	Animalia|Chordata|Cetomimiformes|*
Tetrapoda	Animalia|Chordata|Chameleon|*
Actinopterygii	Animalia|Chordata|Characiformes|*
Actinopterygii	Animalia|Chordata|Characinidae|*
Chondrichthyes	Animalia|Chordata|Chondrichthyes|*
Actinopterygii	Animalia|Chordata|Chondrostei|*
Tunicata	Animalia|Chordata|Clavulina|*
Actinopterygii	Animalia|Chordata|Clupeiformes|*
Vertebrata	Animalia|Chordata|Coelacanthi|*
Animals	Animalia|Chordata|Conodonta|*
Tetrapoda	Animalia|Chordata|Constrictor|*
Tunicata	Animalia|Chordata|Copelata|*
Tetrapoda	Animalia|Chordata|Crocodylia|*
