t.name,t.uri
Laccadive Sea,http://www.marineregions.org/mrgid/4269
Kattegat,http://www.marineregions.org/mrgid/2374
Java Sea,http://www.marineregions.org/mrgid/4338
Ionian Sea,http://www.marineregions.org/mrgid/3351
Territory Of Heard Island And Mcdonald Islands,http://www.geonames.org/1547314
Saint-BarthéLemy,http://www.geonames.org/3578476
Sint Maarten,http://www.geonames.org/7609695
Gibraltar,http://www.geonames.org/2411586
San Marino,http://www.geonames.org/3168068
Vatican City,http://www.geonames.org/3164670
Bouvet Island,http://www.geonames.org/3371123
Tokelau,http://www.geonames.org/4031074
Western Europe,http://www.geonames.org/9408659
Zambezi,http://eol.org/schema/terms/Zambezi
Balkans,http://www.wikidata.org/entity/Q23522
Sunda Islands,http://www.geonames.org/1626052
Maluku,http://www.geonames.org/1636627
Malaya,http://www.geonames.org/1756245
Sumatra,http://www.geonames.org/1626198
Sulawesi,http://www.geonames.org/9062340
Borneo,http://www.geonames.org/1648148
West Indies,http://www.geonames.org/3571219
Bahrain,http://www.geonames.org/290291
Franz Josef Land,https://www.wikidata.org/entity/Q185018
Pechora,https://www.wikidata.org/entity/Q179387
Norway,https://www.wikidata.org/entity/Q20
Kola,https://www.wikidata.org/entity/Q165608
Yana River,https://www.wikidata.org/entity/Q78861
New Siberian Islands,https://www.wikidata.org/entity/Q201012
Olenyoksky District,https://www.wikidata.org/entity/Q1073180
Amazon Basin,http://www.geonames.org/3407731
Andaman Islands,http://www.geonames.org/1278646
Bay Of Bengal,http://www.marineregions.org/mrgid/4273
Tasman Sea,http://www.marineregions.org/mrgid/4365
Singapore Strait,http://www.marineregions.org/mrgid/4336
Skagerrak,http://www.marineregions.org/mrgid/2379
Rio De La Plata,http://www.marineregions.org/mrgid/4325
Seto Inland Sea,http://www.marineregions.org/mrgid/4306
Solomon Sea,http://www.marineregions.org/mrgid/4361
Sargasso Sea,http://www.geonames.org/3373404
Gulf Of Thailand,http://www.marineregions.org/mrgid/4334
Gulf Of Thailand,http://www.geonames.org/1818185
Central Pacific Basin,http://www.geonames.org/4030959
South China Sea,http://www.geonames.org/1567570
Indian Ocean,http://www.geonames.org/1545739
Gulf Of Mexico,http://www.geonames.org/3523271
subantarctic,http://www.wikidata.org/entity/Q1141556
Gulf Of Guinea,http://www.geonames.org/2363255
Northeast Pacific Basin,http://www.geonames.org/4019877
South Pacific Ocean,http://www.geonames.org/4030483
Gulf Of Mexico,http://www.marineregions.org/mrgid/4288
Bay Of Biscay,http://www.geonames.org/2960858
Mediterranean Sea,http://www.geonames.org/363196
Sea Of Japan,http://www.marineregions.org/mrgid/4307
North Sea,http://www.geonames.org/2960848
Black Sea,http://www.geonames.org/630673
Sea Of Japan,http://www.geonames.org/2038684
Southern Ocean,http://www.geonames.org/4036776
Bay Of Biscay,http://www.marineregions.org/mrgid/2359
Caribbean Sea,http://www.geonames.org/4563233
North Atlantic Ocean,http://www.geonames.org/3411923
Northwest Pacific Basin,http://www.geonames.org/2113242
North Greenland,https://www.wikidata.org/entity/Q7055500
Arctic Ocean,https://www.wikidata.org/entity/Q788
Australian Exclusive Economic Zone,http://marineregions.org/mrgid/8323
Nenets Autonomous Okrug,https://www.wikidata.org/entity/Q2164
Beaufort Bay,https://www.wikidata.org/entity/Q21951808
Prince Of Wales Island,https://www.wikidata.org/entity/Q207925
White Sea,https://www.wikidata.org/entity/Q44133
Spitsbergen,https://www.wikidata.org/entity/Q21162
British Indian Ocean Territory,http://www.geonames.org/1282588
American Samoa,http://www.geonames.org/5880801
Atlantic Coast Of North America,http://marineregions.org/mrgid/33452
central europe,http://www.wikidata.org/entity/Q27509
East Europe,http://www.geonames.org/7729884
Yugoslavia,http://www.geonames.org/7500737
mayotte,http://www.wikidata.org/entity/Q3110238
Wallis Et Futuna Islands,http://www.geonames.org/4034749
Southern Europe,http://www.geonames.org/9408658
Soviet Union,http://www.geonames.org/8354411
Lake Michigan,http://www.geonames.org/5001835
Qatar,http://www.geonames.org/289688
Nauru,http://www.geonames.org/2110425
Southeast Asia,http://www.geonames.org/6942346
Saint-Pierre Et Miquelon,http://www.geonames.org/3424932
RéUnion,http://www.geonames.org/935317
Yukon,http://www.wikidata.org/entity/Q2009
Northwest Territories,http://www.wikidata.org/entity/Q2007
Kotzebue Sound,http://www.wikidata.org/entity/Q943234
Chukchi Sea,http://www.geonames.org/4031753
Seward Peninsula,http://www.wikidata.org/entity/Q971586
Western Sahara,http://www.geonames.org/2461445
Anguilla,http://www.geonames.org/3573512
Anguilla,http://www.geonames.org/3573511
The Bahamas,http://www.geonames.org/3572887
Saint Vincent And The Grenadines,http://www.geonames.org/3577815
Monaco,http://www.geonames.org/2993457
Tajikistan,http://www.geonames.org/1220409
Ontario,http://www.geonames.org/6093943
Luxembourg,http://www.geonames.org/2960313
Prince Edward Island,http://www.geonames.org/6113358
Montenegro,http://www.geonames.org/3194884
Idaho,http://www.geonames.org/5596512
Manitoba,http://www.geonames.org/6065171
Pennsylvania,http://www.geonames.org/6254927
New Hampshire,http://www.geonames.org/5090174
British Virgin Islands,http://www.geonames.org/3577718
New York,http://www.geonames.org/5128638
Nebraska,http://www.geonames.org/5073708
Moldova,http://www.geonames.org/617790
Montana,http://www.geonames.org/5667009
Singapore,http://www.geonames.org/1880251
Rhode Island,http://www.geonames.org/5224323
Illinois,http://www.geonames.org/4896861
Alberta,http://www.geonames.org/5883102
District Of Columbia,http://www.geonames.org/4138106
Nova Scotia,http://www.geonames.org/6091530
Togo,http://www.geonames.org/2363686
Connecticut,http://www.geonames.org/4831725
Syria,http://www.geonames.org/163843
Massachusetts,http://www.geonames.org/6254926
New Brunswick,http://www.geonames.org/6087430
Delaware,http://www.geonames.org/4142224
Louisiana,http://www.geonames.org/4331987
Grenada,http://www.geonames.org/3580239
Maryland,http://www.geonames.org/4361885
Kentucky,http://www.geonames.org/6254925
Cambodia,http://www.geonames.org/1831722
Kansas,http://www.geonames.org/4273857
Caspian Sea,http://www.geonames.org/630671
Austria,http://www.geonames.org/2782113
Ohio,http://www.geonames.org/5165418
Colorado,http://www.geonames.org/5417618
Paraguay,http://www.geonames.org/3437598
Montserrat,http://www.geonames.org/3578097
