t.uri	pref.uri
http://eol.org/schema/terms/pulpwoodNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/lumberNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/postProductNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/veneerNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/berryNutSeedNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/nurseryStockNo	http://eol.org/schema/terms/no
http://eol.org/schema/terms/coarseSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fineSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/mediumSoilYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/palatableHumansYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/coldStratificationYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/flowerConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fruitSeedConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fruitPersistentYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/smallGrainYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fallConspicuousYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fireResistantYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/allelopathyYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/lowGrowingGrassYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByBareRootYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByBulbsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByContainerYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByCormsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByCuttingsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySeedYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySodYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedBySprigsYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/propagatedByTubersYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/coppicePotentialYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/ResproutYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/veneerYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/navalStoreYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/postProductYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/christmasTreeYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/berryNutSeedYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/nurseryStockYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/lumberYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fodderYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/pulpwoodYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/mangroves	http://purl.obolibrary.org/obo/ENVO_01000181
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://www.marineregions.org/gazetteer.php?p=details&id=mexico	http://www.geonames.org/3996063
http://www.marineregions.org/gazetteer.php?p=details&id=indonesia	http://www.geonames.org/1643084
http://www.marineregions.org/gazetteer.php?p=details&id=united_states	http://www.geonames.org/6252001
http://eol.org/schema/terms/PlantHabit	http://purl.obolibrary.org/obo/FLOPO_0900032

For Environments-EOL: https://eol-jira.bibalex.org/browse/DATA-1739?focusedCommentId=64564&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-64564
http://purl.obolibrary.org/obo/ENVO_00000047	http://purl.obolibrary.org/obo/ENVO_01001240
http://purl.obolibrary.org/obo/ENVO_01001242	http://purl.obolibrary.org/obo/ENVO_01001240
