Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Reptiles-Turtles,Emydidae,Deirochelys reticularia chrysea,,Florida Chicken Turtle,Native,Freshwater
Amphibians-Frogs,Dendrobatidae,Dendrobates auratus,,Green and Black Poison Dart Frog,Exotic,Freshwater
Amphibians-Frogs,Dendrobatidae,Dendrobates leucomelas,,Yellow-banded Poison Dart Frog,Exotic,Freshwater
Amphibians-Frogs,Dendrobatidae,Dendrobates sp.,,a Poison Dart Frog,Exotic,Freshwater
Amphibians-Salamanders,Plethodontidae,Desmognathus quadramaculatus,,Black-bellied Salamander,Native,Freshwater
Amphibians-Salamanders,Plethodontidae,Desmognathus santeetlah,,Santeetlah Dusky Salamander,Native,Freshwater
Fishes,Cyprinidae,Devario malabaricus,,Malabar danio,Exotic,Freshwater
Crustaceans-Cladocerans,Sididae,Diaphanosoma brevireme,,a cladoceran,Exotic,Freshwater
Crustaceans-Cladocerans,Sididae,Diaphanosoma fluviatile,,a cladoceran,Exotic,Freshwater
Plants,Plantaginaceae,Dopatrium junceum,,horsefly's eye,Exotic,Freshwater
Fishes,Clupeidae,Dorosoma cepedianum,,Gizzard Shad,Native,Freshwater-Marine
Fishes,Clupeidae,Dorosoma petenense,,Threadfin Shad,Native,Freshwater-Marine
Fishes,Clupeidae,Dorosoma petenense atchafalayae,,Mississippi threadfin shad,Native,Freshwater
Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,,zebra mussel,Exotic,Freshwater
Mollusks-Bivalves,Dreissenidae,Dreissena rostriformis bugensis,,quagga mussel,Exotic,Freshwater
Mollusks-Bivalves,Dreissenidae,Dreissena sp.,,mussel,Exotic,Freshwater
Mollusks-Gastropods,Planorbidae,Drepanotrema aeruginosus,,rusty rams-horn,Exotic,Freshwater
Mollusks-Gastropods,Planorbidae,Drepanotrema cimex,,ridged rams-horn,Exotic,Freshwater
Mollusks-Gastropods,Planorbidae,Drepanotrema kermatoides,,crested rams-horn,Exotic,Freshwater
Amphibians-Frogs,Bufonidae,Duttaphrynus melanostictus,,Southeast Asian Toad,Exotic,Freshwater
Crustaceans-Amphipods,Gammaridae,Echinogammarus ischnus,,scud,Exotic,Freshwater-Marine
Plants,Hydrocharitaceae,Egeria densa,,Brazilian waterweed,Exotic,Freshwater
Plants,Pontederiaceae,Eichhornia azurea,,anchored waterhyacinth,Exotic,Freshwater
Plants,Pontederiaceae,Eichhornia crassipes,,floating waterhyacinth,Exotic,Freshwater
Plants,Pontederiaceae,Eichhornia diversifolia,,variableleaf waterhyacinth,Exotic,Freshwater
Plants,Pontederiaceae,Eichhornia paniculata,,Brazilian water hyacinth,Exotic,Freshwater
Crustaceans-Copepods,Canthocamptidae,Elaphoidella bidens bidens,,a copepod,Exotic,Freshwater
Plants,Elatinaceae,Elatine triandra,,longstem waterwort,Exotic,Freshwater
Plants,Cyperaceae,Eleocharis schaffneri,,Schaffner's spikerush,Exotic,Freshwater
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus coqui,,Coqui,Exotic,Freshwater
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus cystignathoides,,Rio Grande Chirping Frog,Native,Freshwater
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus cystignathoides campi,,Rio Grande Chirping Frog,Native,Freshwater
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus planirostris,,Greenhouse Frog,Exotic,Freshwater
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus portoricensis,,Forest Coqui,Exotic,Freshwater
Mollusks-Gastropods,Pleuroceridae,Elimia livescens,,liver elimia,Native,Freshwater
Mollusks-Gastropods,Pleuroceridae,Elimia virginica,,Piedmont elimia,Native,Freshwater
Mollusks-Bivalves,Unionidae,Elliptio icterina,,,Native,Freshwater
Plants,Hydrocharitaceae,Elodea canadensis,,Canadian waterweed,Native,Freshwater
Plants,Hydrocharitaceae,Elodea sp.,,water weed,Native,Freshwater
Fishes,Goodeidae,Empetrichthys latos,,Pahrump Poolfish,Native,Freshwater
Fishes,Goodeidae,Empetrichthys latos latos,,Pahrump Poolfish,Native,Freshwater
Reptiles-Turtles,Emydidae,Emydoidea blandingii,,Blanding's Turtle,Native,Freshwater
Fishes,Engraulidae,Engraulis mordax,,Northern Anchovy,Native,Marine
Fishes,Centrarchidae,Enneacanthus gloriosus,,Bluespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Enneacanthus obesus,,Banded Sunfish,Native,Freshwater
Plants,Asteraceae,Enydra fluctuans,,buffalo spinach,Exotic,Freshwater
Fishes,Serranidae,Epinephelus fasciatus,,blacktip grouper,Exotic,Marine
Fishes,Serranidae,Epinephelus hexagonatus,,starspotted grouper,Exotic,Marine
Fishes,Serranidae,Epinephelus irroratus,,Marquesan grouper,Exotic,Marine
Fishes,Serranidae,Epinephelus merra,,dwarf spotted grouper,Exotic,Marine
Fishes,Serranidae,Epinephelus ongus,,White-streaked grouper,Exotic,Marine-Brackish
Fishes,Cyprinidae,Eremichthys acros,,Desert Dace,Native,Freshwater
Fishes,Catostomidae,Erimyzon oblongus,,Creek Chubsucker,Native,Freshwater
Fishes,Catostomidae,Erimyzon sucetta,,Lake Chubsucker,Native,Freshwater
Plants,Eriocaulaceae,Eriocaulon scariosum,,rough pipewort,Exotic,Freshwater
Crustaceans-Crabs,Grapsidae,Eriocheir sinensis,,Chinese mitten crab,Exotic,Marine-Freshwater
Reptiles-Snakes,Colubridae,Erpeton tentaculatus,,Tentacled Snake,Exotic,Freshwater
Fishes,Esocidae,Esox americanus,,Redfin Pickerel,Native,Freshwater
Fishes,Esocidae,Esox americanus americanus,,Redfin Pickerel,Native,Freshwater
Fishes,Esocidae,Esox americanus vermiculatus,,Grass Pickerel,Native,Freshwater
Fishes,Esocidae,Esox lucius,,Northern Pike,Native,Freshwater
Fishes,Esocidae,Esox lucius x E. masquinongy,,tiger muskellunge,Native Hybrid,Freshwater
Fishes,Esocidae,Esox lucius x E. reichertii,,northern pike x amur pike,Exotic Hybrid,Freshwater
Fishes,Esocidae,Esox masquinongy,,Muskellunge,Native,Freshwater
Fishes,Esocidae,Esox masquinongy ohioensis,,muskellunge,Native,Freshwater
Fishes,Esocidae,Esox niger,,Chain Pickerel,Native,Freshwater
Fishes,Esocidae,Esox reichertii,,Amur pike,Exotic,Freshwater
Fishes,Percidae,Etheostoma blennioides,,Greenside Darter,Native,Freshwater
Fishes,Percidae,Etheostoma caeruleum,,Rainbow Darter,Native,Freshwater
Fishes,Percidae,Etheostoma cragini,,Arkansas Darter,Native,Freshwater
Fishes,Percidae,Etheostoma edwini,,Brown Darter,Native,Freshwater
Fishes,Percidae,Etheostoma exile,,Iowa Darter,Native,Freshwater
Fishes,Percidae,Etheostoma fusiforme,,Swamp Darter,Native,Freshwater
Fishes,Percidae,Etheostoma nigrum,,Johnny Darter,Native,Freshwater
Fishes,Percidae,Etheostoma nuchale,,Watercress Darter,Native,Freshwater
Fishes,Percidae,Etheostoma olmstedi,,Tessellated Darter,Native,Freshwater
Fishes,Percidae,Etheostoma rufilineatum,,Redline Darter,Native,Freshwater
Fishes,Percidae,Etheostoma simoterum,,Snubnose Darter,Native,Freshwater
Fishes,Percidae,Etheostoma sp.,,darter,Native,Freshwater
Fishes,Percidae,Etheostoma zonale,,Banded Darter,Native,Freshwater
Fishes,Paralichthyidae,Etropus crossotus,,Fringed Flounder,Native,Marine
Crustaceans-Cladocerans,Bosminidae,Eubosmina maritima,,a cladoceran,Exotic,Freshwater-Marine
Fishes,Gerreidae,Eucinostomus argenteus,,Spotfin Mojarra,Native,Marine
Fishes,Gerreidae,Eucinostomus gracilis,,Graceful Mojarra,Native,Marine
Reptiles-Snakes,Boidae,Eunectes murinus,,Green Anaconda,Exotic,Freshwater
Reptiles-Snakes,Boidae,Eunectes notaeus,,Yellow Anaconda,Exotic,Freshwater
Mollusks-Bivalves,Pisidiidae,Eupera cubensis,,mottled fingernailclam,Native,Freshwater
Crustaceans-Copepods,Temoridae,Eurytemora affinis,,a calanoid copepod,Native,Freshwater-Marine
Fishes,Cyprinidae,Exoglossum laurae,,Tonguetied Minnow,Native,Freshwater
Fishes,Cyprinidae,Exoglossum maxillingua,,Cutlip Minnow,Native,Freshwater
Crustaceans-Shrimp,Palaemonidae,Exopalaemon modestus,,Siberian prawn,Exotic,Freshwater
Fishes,Loricariidae,Farlowella vittata,,twig catfish,Exotic,Freshwater
Crustaceans-Crayfish,Cambaridae,Faxonella clypeata,,ditch fencing crayfish,Native,Freshwater
Amphibians-Frogs,Dicroglossidae,Fejervarya cancrivora,,Crab-Eating Frog,Exotic,Freshwater
Amphibians-Frogs,Dicroglossidae,Fejervarya limnocharis,,Rice Frog,Exotic,Freshwater
Fishes,Amblyopsidae,Forbesichthys agassizii,,Spring Cavefish,Native,Freshwater
Reptiles-Snakes,Colubridae,Fordonia leucobalia,,Crab-eating water snake,Exotic,Freshwater
Mollusks-Gastropods,Lymnaeidae,Fossaria viridis,,,Exotic,Freshwater
Fishes,Fundulidae,Fundulus catenatus,,Northern Studfish,Native,Freshwater
Fishes,Fundulidae,Fundulus chrysotus,,Golden Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus diaphanus,,Banded Killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus diaphanus diaphanus,,eastern banded killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus grandis,,Gulf Killifish,Native,Marine
Fishes,Fundulidae,Fundulus heteroclitus,,Mummichog,Native,Freshwater
Fishes,Fundulidae,Fundulus kansae,,Northern Plains Killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus lineolatus,,Lined Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus notatus,,Blackstripe Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus olivaceus,,Blackspotted Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus sciadicus,,Plains Topminnow,Native,Freshwater
Fishes,Fundulidae,Fundulus seminolis,,Seminole Killifish,Native,Freshwater
Fishes,Fundulidae,Fundulus stellifer,,Southern Studfish,Native,Freshwater
Fishes,Fundulidae,Fundulus zebrinus,,Plains Killifish,Native,Freshwater
Mollusks-Bivalves,Unionidae,Fusconaia flava,,Wabash pigtoe,Native,Freshwater
Fishes,Poeciliidae,Gambusia affinis,,Western Mosquitofish,Native,Freshwater
Fishes,Poeciliidae,Gambusia geiseri,,Largespring Gambusia,Native,Freshwater
Fishes,Poeciliidae,Gambusia holbrooki,,Eastern Mosquitofish,Native,Freshwater
Fishes,Poeciliidae,Gambusia nobilis,,Pecos Gambusia,Native,Freshwater
Crustaceans-Amphipods,Gammaridae,Gammarus fasciatus,,freshwater shrimp,Native,Freshwater
Crustaceans-Amphipods,Gammaridae,Gammarus sp.,,,Native,Freshwater
Crustaceans-Amphipods,Gammaridae,Gammarus tigrinus,,amphipod,Native,Freshwater-Marine
Fishes,Gasterosteidae,Gasterosteus aculeatus,,Threespine Stickleback,Native,Marine
Fishes,Gasterosteidae,Gasterosteus aculeatus williamsoni,,Threespine Stickleback,Native,Marine
Fishes,Cichlidae,Geophagus brasiliensis,,pearl eartheater,Exotic,Freshwater
Fishes,Cichlidae,Geophagus sp.,,eartheater,Exotic,Freshwater
Crustaceans-Crabs,Potamidae,Geothelphusa dehaani,,a freshwater crab,Exotic,Freshwater
Fishes,Cyprinidae,Gila atraria,,Utah Chub,Native,Freshwater
Fishes,Cyprinidae,Gila coerulea,,Blue Chub,Native,Freshwater
Fishes,Cyprinidae,Gila orcuttii,,Arroyo Chub,Native,Freshwater
Fishes,Cyprinidae,Gila pandora,,Rio Grande Chub,Native,Freshwater
Fishes,Cyprinidae,Gila seminuda,,Virgin Chub,Native,Freshwater
Mollusks-Gastropods,Hydrobiidae,Gillia altilis,,buffalo pebblesnail,Native,Freshwater
Fishes,Gobiidae,Gillichthys mirabilis,,Longjaw Mudsucker,Native,Marine
Fishes,Gobiidae,Gillichthys seta,,Shortjaw Mudsucker,Exotic,Marine
Fishes,Kyphosidae,Girella simplicidens,,Gulf Opaleye,Exotic,Marine
Amphibians-Frogs,Ranidae,Glandirana rugosa,,Japanese Wrinkled Frog,Exotic,Freshwater
Plants,Phyrmaceae,Glossostigma cleistanthum,,mudmats,Exotic,Freshwater
Plants,Poaceae,Glyceria maxima,,reed mannagrass,Exotic,Freshwater
Reptiles-Turtles,Emydidae,Glyptemys insculpta,,Wood Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Glyptemys muhlenbergii,,Bog Turtle,Native,Freshwater
Fishes,Loricariidae,Glyptoperichthys gibbiceps,,leopard pleco,Exotic,Freshwater
Fishes,Gobiidae,Gobionellus oceanicus,,Highfin Goby,Native,Freshwater-Marine
Fishes,Gobiidae,Gobiosoma bosc,,Naked Goby,Native,Marine
Fishes,Grammatidae,Gramma loreto,,Fairy Basslet,Exotic,Marine
Reptiles-Turtles,Emydidae,Graptemys barbouri,,Barbour's Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys ernsti,,Escambia Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys geographica,,Northern Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys ouachitensis,,Ouachita Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys pseudogeographica,,False Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys pseudogeographica kohnii,,Mississippi Map Turtle,Native,Freshwater
Reptiles-Turtles,Emydidae,Graptemys spp.,,Map turtle,Native,Freshwater
Fishes,Percidae,Gymnocephalus cernua,,Ruffe,Exotic,Freshwater
Fishes,Characidae,Gymnocorymbus ternetzi,,black tetra,Exotic,Freshwater
Fishes,Muraenidae,Gymnothorax sp.,,unidentified moray,Exotic,Marine
Fishes,Gyrinocheilidae,Gyrinocheilus aymonieri,,Chinese algae-eater,Exotic,Freshwater
Fishes,Labridae,Halichoeres semicinctus,,Rock Wrasse,Native,Marine
Crustaceans-Copepods,Harpacticidae,Harpacticella paradoxa,,harpacticoid copepod,Exotic,Freshwater-Brackish
Mollusks-Gastropods,Planorbidae,Helisoma sp.,,unidentified rams-horn,Native,Freshwater
Fishes,Helostomatidae,Helostoma temminkii,,kissing gourami,Exotic,Freshwater
Fishes,Cichlidae,Hemichromis elongatus,,banded jewelfish,Exotic,Freshwater
Fishes,Cichlidae,Hemichromis letourneuxi,,African Jewelfish,Exotic,Freshwater-Brackish
Fishes,Characidae,Hemigrammus ocellifer,,head-and-taillight tetra,Exotic,Freshwater
Crustaceans-Crabs,Grapsidae,Hemigrapsus sanguineus,,Asian shore crab,Exotic,Marine
Crustaceans-Mysids,Mysidae,Hemimysis anomala,,bloody red shrimp,Exotic,Freshwater-Marine
Fishes,Chaetodontidae,Heniochus acuminatus,,pennant coralfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus diphreutes,,schooling bannerfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus intermedius,,Red Sea bannerfish,Exotic,Marine
Fishes,Chaetodontidae,Heniochus sp.,,bannerfish,Exotic,Marine
Fishes,Cichlidae,Herichthys carpintis,,Lowland Cichlid,Exotic,Freshwater
Fishes,Cichlidae,Herichthys cyanoguttatus,,Rio Grande Cichlid,Native,Freshwater
Fishes,Clupeidae,Herklotsichthys quadrimaculatus,,goldspot herring,Exotic,Marine
Fishes,Cichlidae,Heros severus,,Banded Cichlid,Exotic,Freshwater
Fishes,Cyprinidae,Hesperoleucus symmetricus,,California Roach,Native,Freshwater
Fishes,Poeciliidae,Heterandria formosa,,Least Killifish,Native,Freshwater
Plants,Pontederiaceae,Heteranthera limosa,,mud plantain,Native,Freshwater
Crustaceans-Copepods,Canthocamptidae,Heteropsyllus nr. nunni,,harpacticoid copepod,Unknown,Freshwater-Marine
Crustaceans-Copepods,Canthocamptidae,Heteropsyllus nunni,nr. nunni,a harpacticoid copepod,Native,Freshwater-Marine
Fishes,Hiodontidae,Hiodon alosoides,,Goldeye,Native,Freshwater
Fishes,Hiodontidae,Hiodon tergisus,,Mooneye,Native,Freshwater
Fishes,Erythrinidae,Hoplias malabaricus,,trahira,Exotic,Freshwater
Fishes,Callichthyidae,Hoplosternum littorale,,Brown Hoplo,Exotic,Freshwater
Fishes,Bagridae,Horabagrus brachysoma,,Günther's catfish,Exotic,Freshwater-Brackish
Fishes,Cyprinidae,Hybognathus hankinsoni,,Brassy Minnow,Native,Freshwater
Fishes,Cyprinidae,Hybognathus nuchalis,,Mississippi Silvery Minnow,Native,Freshwater
Fishes,Cyprinidae,Hybognathus placitus,,Plains Minnow,Native,Freshwater
Fishes,Cyprinidae,Hybognathus regius,,Eastern Silvery Minnow,Native,Freshwater
Fishes,Cyprinidae,Hybopsis amblops,,Bigeye Chub,Native,Freshwater
Fishes,Cyprinidae,Hybopsis cf. winchelli,,undescribed clear chub,Native,Freshwater
Fishes,Cyprinidae,Hybopsis hypsinotus,,Highback Chub,Native,Freshwater
Plants,Hydrocharitaceae,Hydrilla verticillata,,hydrilla,Exotic,Freshwater
Plants,Hydrocharitaceae,Hydrilla verticillata [dioecious],,dioecious hydrilla,Exotic,Freshwater
Plants,Hydrocharitaceae,Hydrilla verticillata [monoecious],,monoecious hydrilla,Exotic,Freshwater
Plants,Hydrocharitaceae,Hydrocharis morsus-ranae,,European frogbit,Exotic,Freshwater
Mammals,Caviidae,Hydrochoerus hydrochaeris,,capybara,Exotic,Freshwater
Plants,Alismataceae,Hydrocleys nymphoides,,waterpoppy,Native,Freshwater
Plants,Hydroleaceae,Hydrolea capsularis,,spiny false fiddleleaf,Exotic,Freshwater
Plants,Acanthaceae,Hygrophila corymbosa,,starhorn,Exotic,Freshwater
Plants,Acanthaceae,Hygrophila difformis,,water-wisteria,Exotic,Freshwater
Plants,Acanthaceae,Hygrophila polysperma,,hygro,Exotic,Freshwater
Amphibians-Frogs,Hylidae,Hyla cinerea,,Green Treefrog,Native,Freshwater
Amphibians-Frogs,Hylidae,Hyla gratiosa,,Barking Treefrog,Native,Freshwater
Amphibians-Frogs,Hylidae,Hyla squirrella,,Squirrel Treefrog,Native,Freshwater
Amphibians-Frogs,Hylidae,Hyla wrightorum,,Arizona Treefrog,Native,Freshwater
Amphibians-Frogs,Ranidae,Hylarana guentheri,,Günther's Amoy Frog,Exotic,Freshwater
Plants,Poaceae,Hymenachne amplexicaulis,,West Indian marsh grass,Native,Freshwater
Amphibians-Frogs,Pipidae,Hymenochirus boettgeri,,Zaire Dwarf Clawed Frog,Exotic,Freshwater
Fishes,Catostomidae,Hypentelium etowanum,,Alabama Hog Sucker,Native,Freshwater
Fishes,Catostomidae,Hypentelium nigricans,,Northern Hog Sucker,Native,Freshwater
Fishes,Catostomidae,Hypentelium roanokense,,Roanoke Hog Sucker,Native,Freshwater
Fishes,Characidae,Hyphessobrycon eques,,serpae tetra,Exotic,Freshwater
Fishes,Osmeridae,Hypomesus nipponensis,,wakasagi,Exotic,Freshwater
Fishes,Osmeridae,Hypomesus transpacificus,,Delta Smelt,Native,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix,,Silver Carp,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys molitrix x nobilis,,hybrid silver/bighead carp,Exotic Hybrid,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys nobilis,,Bighead Carp,Exotic,Freshwater
Fishes,Cyprinidae,Hypophthalmichthys sp.,,bigheaded carps,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus plecostomus,,Suckermouth Catfish,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus sp.,,suckermouth catfish,Exotic,Freshwater
Fishes,Loricariidae,Hypostomus sp. (watwata group),,suckermouth catfish,Exotic,Freshwater
Fishes,Blenniidae,Hypsoblennius invemar,,Tessellated Blenny,Unknown,Marine
Fishes,Blenniidae,Hypsoblennius ionthas,,Freckled Blenny,Native,Marine
Fishes,Cichlidae,Hypsophrys nicaraguensis,,Moga,Exotic,Freshwater
Fishes,Pleuronectidae,Hypsopsetta guttulata,,Diamond Turbot,Native,Marine
Fishes,Embiotocidae,Hysterocarpus traskii,,Tule Perch,Native,Freshwater
Fishes,Petromyzontidae,Ichthyomyzon castaneus,,Chestnut Lamprey,Native,Freshwater
Fishes,Petromyzontidae,Ichthyomyzon unicuspis,,Silver Lamprey,Native,Freshwater
Fishes,Ictaluridae,Ictalurus furcatus,,Blue Catfish,Native,Freshwater
Fishes,Ictaluridae,Ictalurus pricei,,Yaqui Catfish,Native,Freshwater
Fishes,Ictaluridae,Ictalurus punctatus,,Channel Catfish,Native,Freshwater
Fishes,Catostomidae,Ictiobus bubalus,,Smallmouth Buffalo,Native,Freshwater
Fishes,Catostomidae,Ictiobus cyprinellus,,Bigmouth Buffalo,Native,Freshwater
Fishes,Catostomidae,Ictiobus niger,,Black Buffalo,Native,Freshwater
Amphibians-Frogs,Bufonidae,Incilius nebulifer,,Coastal Plain Toad,Native,Freshwater
Fishes,Cyprinidae,Iotichthys phlegethontis,,Least Chub,Native,Freshwater
Plants,Convolvulaceae,Ipomoea aquatica,,water spinach,Exotic,Freshwater
Plants,Iridaceae,Iris pseudacorus,,yellow iris,Exotic,Freshwater
Fishes,Cyprinodontidae,Jordanella floridae,,Flagfish,Native,Freshwater
Amphibians-Frogs,Microhylidae,Kaloula pulchra,,Malaysian Painted Frog,Exotic,Freshwater
Reptiles-Turtles,Kinosternidae,Kinosternon flavescens,,Yellow Mud Turtle,Native,Freshwater
Reptiles-Turtles,Kinosternidae,Kinosternon scorpioides,,Scorpion Mud Turtle,Exotic,Freshwater
Reptiles-Turtles,Kinosternidae,Kinosternon subrubrum,,Eastern Mud Turtle,Native,Freshwater
Reptiles-Turtles,Kinosternidae,Kinosternon subrubrum hippocrepis,,Mississippi mud turtle,Native,Freshwater
Fishes,Kuhlidae,Kuhlia rupestris,,Rock flagtail,Exotic,Freshwater-Brackish
Fishes,Cyprinidae,Labeo chrysophekadion,,black sharkminnow, black labeo,Exotic,Freshwater
Fishes,Cichlidae,Labeotropheus fuelleborni,,blue mbuna,Exotic,Freshwater
Fishes,Atherinopsidae,Labidesthes sicculus,,Brook Silverside,Native,Freshwater
Mollusks-Bivalves,Unionidae,Lampsilis cardium,,plain pocketbook,Native,Freshwater
Plants,Araceae,Landoltia punctata,,dotted duckweed,Exotic,Freshwater
Mollusks-Bivalves,Unionidae,Lasmigona subviridis,,green floater,Native,Freshwater
Fishes,Centropomidae,Lates angustifrons,,Tanganyika lates,Exotic,Freshwater
Fishes,Centropomidae,Lates mariae,,bigeye lates,Exotic,Freshwater
Fishes,Centropomidae,Lates niloticus,,Nile perch,Exotic,Freshwater
Fishes,Cyprinidae,Lavinia exilicauda,,Hitch,Native,Freshwater
Fishes,Pimelodidae,Leiarius marmoratus,,,Exotic,Freshwater
Fishes,Sciaenidae,Leiostomus xanthurus,,Spot,Native,Marine
Fishes,Cyprinidae,Lepidomeda albivallis,,White River Spinedace,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda copei,,Northern Leatherside Chub,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda mollispinis,,Virgin spinedace,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda mollispinis mollispinis,,Virgin Spinedace,Native,Freshwater
Fishes,Cyprinidae,Lepidomeda mollispinis pratensis,,Big Spring spinedace,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus oculatus,,Spotted Gar,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus osseus,,Longnose Gar,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus platostomus,,Shortnose Gar,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus platyrhincus,,Florida Gar,Native,Freshwater
Fishes,Lepisosteidae,Lepisosteus sp.,,gar,Native,Freshwater
Fishes,Centrarchidae,Lepomis auritus,,Redbreast Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis cyanellus,,Green Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis gibbosus,,Pumpkinseed,Native,Freshwater
Fishes,Centrarchidae,Lepomis gulosus,,Warmouth,Native,Freshwater
Fishes,Centrarchidae,Lepomis humilis,,Orangespotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis hybrids,,hybrid sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis macrochirus,,Bluegill,Native,Freshwater
Fishes,Centrarchidae,Lepomis marginatus,,Dollar Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis megalotis,,Longear Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis microlophus,,Redear Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis miniatus,,Redspotted Sunfish,Native,Freshwater
Fishes,Centrarchidae,Lepomis sp.,,sunfish,Native,Freshwater
Fishes,Anostomidae,Leporinus fasciatus,,banded leporinus,Exotic,Freshwater
Mollusks-Bivalves,Unionidae,Leptodea fragilis,,fragile papershell,Native,Freshwater
Crustaceans-Copepods,Lernaeidae,Lernaea cyprinacea,,anchor worm,Exotic,Freshwater
Fishes,Lethrinidae,Lethrinus sp.,,emperor,Exotic,Marine
Fishes,Cyprinidae,Leuciscus idus,,Ide,Exotic,Freshwater
Fishes,Atherinopsidae,Leuresthes sardina,,Gulf Grunion,Exotic,Marine
Mollusks-Bivalves,Unionidae,Ligumia recta,,black sandshell,Native,Freshwater
Fishes,Poeciliidae,Limia vittata,,Cuban limia,Exotic,Freshwater
Plants,Hydrocharitaceae,Limnobium laevigatum,,West Indian spongeplant,Native,Freshwater
Crustaceans-Copepods,Oithonidae,Limnoithona sinensis,,Asian copepod,Exotic,Freshwater-Marine
Crustaceans-Copepods,Oithonidae,Limnoithona tetraspina,,a copepod,Exotic,Freshwater-Marine
Plants,Plantaginaceae,Limnophila aromatica,,rice paddy herb,Exotic,Freshwater
Plants,Plantaginaceae,Limnophila indica,,Indian marshweed,Exotic,Freshwater
Plants,Plantaginaceae,Limnophila sessiliflora,,Asian marshweed,Exotic,Freshwater
Plants,Plantaginaceae,Limnophila x ludoviciana [indica x sessiliflora],,marshweed,Exotic Hybrid,Freshwater
Amphibians-Frogs,Ranidae,Lithobates berlandieri,,Rio Grande Leopard Frog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates blairi,,Plains Leopard Frog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates catesbeianus,,American Bullfrog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates clamitans,,Green Frog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates grylio,,Pig Frog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates pipiens,,Northern Leopard Frog,Native,Freshwater
Amphibians-Frogs,Ranidae,Lithobates sphenocephalus,,Southern Leopard Frog,Native,Freshwater
Amphibians-Frogs,Hylidae,Litoria aurea,,Green and Golden Bell Frog,Exotic,Freshwater
Amphibians-Frogs,Hylidae,Litoria caerulea,,Australian Green Treefrog,Exotic,Freshwater
Amphibians-Frogs,Hylidae,Litoria fallax,,Eastern Dwarf Treefrog,Exotic,Freshwater
Bryozoans,Vesiculariidae,Lophopodella carteri,,freshwater bryozoan,Exotic,Freshwater
Fishes,Gadidae,Lota lota,,Burbot,Native,Freshwater
Fishes,Fundulidae,Lucania goodei,,Bluefin Killifish,Native,Freshwater
Fishes,Fundulidae,Lucania parva,,Rainwater Killifish,Native,Freshwater
Plants,Onagraceae,Ludwigia grandiflora,,large-flower primrose-willow,Exotic,Freshwater
Plants,Onagraceae,Ludwigia hexapetala,,six petal water primrose,Exotic,Freshwater
Plants,Onagraceae,Ludwigia peploides glabrescens,,floating primrose-willow,Native,Freshwater
Plants,Onagraceae,Ludwigia peploides montevidensis,,floating primrose-willow,Exotic,Freshwater
