Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish
Reptiles-Turtles,Trionychidae,Apalone spinifera emoryi,,Texas Spiny Softshell,Native,Freshwater
Reptiles-Turtles,Trionychidae,Apalone spinifera pallida,,Pallid Spiny Softshell,Native,Freshwater
Reptiles-Turtles,Trionychidae,Apalone spinifera spinifera,,Eastern Spiny Softshell,Native,Freshwater
Fishes,Gasterosteidae,Apeltes quadracus,,Fourspine Stickleback,Native,Freshwater-Brackish
Fishes,Aphredoderidae,Aphredoderus sayanus,,Pirate Perch,Native,Freshwater
Fishes,Characidae,Aphyocharax anisitsi,,bloodfin tetra,Exotic,Freshwater
Fishes,Aplocheilidae,Aplocheilus lineatus,,striped panchax,Exotic,Freshwater
Fishes,Sciaenidae,Aplodinotus grunniens,,Freshwater Drum,Native,Freshwater
Crustaceans-Amphipods,Corophiidae,Apocorophium lacustre,,a scud,Native,Marine
Crustaceans-Copepods,Cyclopidae,Apocyclops dengizicus,,,Exotic,Freshwater
Fishes,Pomacanthidae,Apolemichthys xanthopunctatus,,goldspotted angelfish,Exotic,Marine
Fishes,Osteoglossidae,Arapaima sp.,,Arapaima,Exotic,Freshwater
Fishes,Cichlidae,Archocentrus nigrofasciatus,,Convict Cichlid,Exotic,Freshwater
Fishes,Centrarchidae,Archoplites interruptus,,Sacramento Perch,Native,Freshwater
Crustaceans-Copepods,Diaptomidae,Arctodiaptomus dorsalis,,copepod,Native,Freshwater
Crustaceans-Copepods,Argulidae,Argulus japonicus,,Japanese fishlouse,Exotic,Freshwater-Marine
Fishes,Tetraodontidae,Arothron diadematus,,masked pufferfish,Exotic,Marine
Crustaceans-Isopods,Asellidae,Asellus hilgendorfii,,an asellid isopod,Exotic,Freshwater
Fishes,Cichlidae,Astatotilapia calliptera,,eastern happy,Exotic,Freshwater
Fishes,Cichlidae,Astronotus ocellatus,,Oscar,Exotic,Freshwater
Fishes,Characidae,Astyanax mexicanus,,Mexican Tetra,Native,Freshwater
Amphibians-Frogs,Bufonidae,Atelopus zeteki,,Panamanian Golden Frog,Exotic,Freshwater
Fishes,Lepisosteidae,Atractosteus spatula,,Alligator Gar,Native,Freshwater
Fishes,Aplocheilidae,Austrolebias bellottii,,Argentine pearlfish,Exotic,Freshwater
Fishes,Aplocheilidae,Austrolebias nigripinnis,,blackfin pearlfish,Exotic,Freshwater
