Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10042	Hadromophryne natalensis (Hewitt, 1913)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Hadromophryne	natalensis 		Species					1
10043	Heleophryne Sclater, 1898		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne			Genus					1
10044	Heleophryne depressa FritzSimons, 1946		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	depressa 		Species			not recognised by catalogue of life		1
10045	Heleophryne hewitti Boycott, 1988		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	hewitti 		Species					1
10046	Heleophryne orientalis FitzSimons, 1946		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	orientalis 		Species					1
10047	Heleophryne purcelli Sclater, 1898		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	purcelli 		Species					1
10048	Heleophryne regis Hewitt, 1910		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	regis 		Species					1
10049	Heleophryne rosei Hewitt, 1925		Animalia	Chordata	Vertebrata	Amphibia					Anura				Heleophrynidae			Heleophryne	rosei 		Species					1
10050	Hemisotidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hemisotidae						Family					1
10051	Hemisus Günther, 1859		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hemisotidae			Hemisus			Genus					1
10052	Hemisus guineensis Cope, 1865		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hemisotidae			Hemisus	guineensis 		Species					1
10053	Hemisus guttatus (Rapp, 1842)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hemisotidae			Hemisus	guttatus 		Species					1
10054	Hemisus marmoratus (Peters, 1854)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hemisotidae			Hemisus	marmoratus 		Species					1
10055	Hyperoliinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae						Family					1
10056	Hyperoliinae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae					Subfamily					1
10057	Afrixalus Laurent, 1944		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus			Genus					1
10058	Afrixalus aureus Pickersgill, 1984		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	aureus 		Species					1
10059	Afrixalus aureus aureus		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	aureus 	aureus	Infraspecies					1
10060	Afrixalus aureus crotalus		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	aureus 	crotalus	Infraspecies					1
10061	Afrixalus delicatus Pickersgill, 1984		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	delicatus 		Species					1
10062	Afrixalus fornasinii (Bianconi, 1849)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	fornasinii 		Species					1
10063	Afrixalus knysnae (Loveridge, 1954)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	knysnae 		Species					1
10064	Afrixalus spinifrons (Cope, 1862)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	spinifrons 		Species					1
10065	Afrixalus spinifrons intermedius		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	spinifrons 	intermedius	Infraspecies			not recognised by catalogue of life		1
10066	Afrixalus spinifrons spinifrons		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae	Hyperoliinae		Afrixalus	spinifrons 	spinifrons 	Infraspecies			not recognised by catalogue of life		1
10067	Hyperolius Rapp, 1842		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius			Genus					1
10068	Hyperolius acuticeps Ahl, 1931		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	acuticeps 		Species					1
10069	Hyperolius argus Peters, 1854		Animalia	Chordata	Vertebrata	Amphibia					Anura				Hyperoliidae			Hyperolius	argus 		Species					1
