Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
20329	Trachylepis varia Peters, 1867		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae	Lygosominae		Trachylepis	varia		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20330	Trachylepis variegata Peters, 1870		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae	Lygosominae		Trachylepis	variegata		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20331	Acontophiops		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Acontophiops			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20332	Acontophiops lineatus Sternfeld, 1991		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Acontophiops	lineatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20333	Typhlosaurus		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20334	Typhlosaurus aurantiacus Peters, 1854		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20335	Typhlosaurus aurantiacus aurantiacus (Peter, 1854)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus 	aurantiacus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20336	Typhlosaurus aurantiacus bazarutoensis Broadley, 1990		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus 	bazarutoensis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20337	Typhlosaurus aurantiacus carolinensis Broadley, 1990		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus 	carolinensis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20338	Typhlosaurus aurantiacus fitzsimonsi Broadley, 1968		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus 	fitzsimonsi	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20339	Typhlosaurus aurantiacus parietalis Broadley, 1990		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	aurantiacus 	parietalis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20340	Typhlosaurus caecus Cuvier, 1817		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	caecus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20341	Typhlosaurus cregoi Boulenger, 1903		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	cregoi		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20342	Typhlosaurus cregoi cregoi Boulenger, 1903		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	cregoi 	cregoi	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20343	Typhlosaurus cregoi bicolor Hewitt, 1929		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	cregoi 	bicolor	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20344	Typhlosaurus gariepensis Fitzsimons, 1941		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	gariepensis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20345	Typhlosaurus lineatus Boulenger, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	lineatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20346	Typhlosaurus lineatus lineatus Boulenger, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	lineatus 	lineatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20347	Typhlosaurus lineatus subtaeniatus Broadley, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	lineatus 	subtaeniatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20348	Typhlosaurus lomii Haacke, 1986		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	lomii		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20349	Typhlosaurus meyeri Boettger, 1894		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	meyeri		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20350	Typhlosaurus vermis Boulenger, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlosaurus	vermis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20351	Panaspis Cope, 1868		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Panaspis			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20352	Panaspis wahlbergii Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Panaspis	wahlbergii		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20353	Panaspis maculilabris Jacobson & Broadley, 2000		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Panaspis	maculilabris		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20354	Scelotes		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20355	Scelotes montispectus Bauer et al., 2003		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	montispectus 		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20356	Scelotes anguineus Boulenger, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	anguineus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20357	Scelotes arenicolus Peters, 1854		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	arenicolus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20358	Scelotes arenicolus insularis Broadley, 1990		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	arenicolus	insularis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20359	Scelotes arenicolus arenicolus (Peters, 1854)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	arenicolus	arenicolus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20360	Scelotes bicolor (Smith, 1849)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	bicolor 		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20361	Scelotes bidigittatus Fitzsimons, 1930		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	bidigittatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20362	Scelotes bipes Linnaeus, 1766		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	bipes		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20363	Scelotes sexlineatus Harlan, 1824		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	sexlineatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20364	Scelotes caffer Peters, 1861		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	caffer		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20365	Scelotes capensis Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	capensis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20366	Scelotes gronovii Daudin, 1802		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	gronovii		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20367	Scelotes guentheri Boulenger, 1887		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	guentheri		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20368	Scelotes inornatus Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	inornatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20369	Scelotes montivistum		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	montivistum		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20370	Scelotes mossambicus Peters, 1882		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	mossambicus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20371	Scelotes kasneri Fitzsimons, 1939		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	kasneri		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20372	Scelotes limpopoensis Fitzsimons, 1930		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	limpopoensis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20373	Scelotes limpopoensis albiventris Jacobsen, 1987		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	limpopoensis	albiventris	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20374	Scelotes limpopoensis limpopoensis Fitzsimons, 1930		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	limpopoensis	limpopoensis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20375	Scelotes mirus Roux, 1907		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	mirus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20376	Scelotes duttoni Broadley, 1990		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	duttoni		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20377	Scelotes bourquini Broadley, 1994		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	bourquini		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20378	Scelotes vestigifer Broadley, 1994		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Scelotes	vestigifer		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20379	Typhlacontias		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlacontias			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20380	Typhlacontias johnsonii Anderson, 1916		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Lacertilia			Scincidae			Typhlacontias	johnsonii		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20381	Serpentes		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes									Suborder	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20382	Atractaspididae		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae						Family	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20383	Aparallactinae		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae					Subfamily	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20384	Amblyodipsas Peters, 1857		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20385	Amblyodipsas concolor Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas	concolor		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20386	Amblyodipsas microphthalma Bianconi, 1852		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas	microphthalma		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20387	Amblyodipsas polylepis Bocage, 1873		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas	polylepis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20388	Amblyodipsas polylepis polylepis Bocage, 1873		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas	polylepis	polylepis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20389	Amblyodipsas polylepis hildebrandtii (Peter, 1877)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Amblyodipsas	polylepis	hildebrandtii	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20390	Aparallactus Peters, 1857		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20391	Aparallactus capensis Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	capensis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20392	Aparallactus capensis bocagei Boulenger, 1895		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	capensis	bocagei	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20393	Aparallactus capensis capensis Smith, 1849		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	capensis	capensis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20394	Aparallactus capensis luebberti Sternfeld, 1910		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	capensis	luebberti	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20395	Aparallactus capensis punctatolineatus Boulenger, 1895		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	capensis	punctatolineatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20396	Aparallactus lunulatus Peters, 1854		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	lunulatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20397	Aparallactus lunulatus lunulatus (Peters, 1854)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	lunulatus	lunulatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20398	Aparallactus lunulatus nigrocollaris Chabanaud, 1916		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	lunulatus	nigrocollaris	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20399	Aparallactus lunulatus scortecci Parker, 1949		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Aparallactus	lunulatus	scortecci	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20400	Macrelaps Peters, 1857		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Macrelaps			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20401	Macrelaps microlepidotus Günther, 1860		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Macrelaps	microlepidotus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20402	Xenocalamus Günther, 1868		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus			Genus	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20403	Xenocalamus bicolor Günther, 1868		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20404	Xenocalamus bicolor australis Fitzsimons, 1946		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	australis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20405	Xenocalamus bicolor bicolor Günther, 1868		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	bicolor	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20406	Xenocalamus bicolor concavorostralis Hoffman, 1940		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	concavorostralis	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20407	Xenocalamus bicolor lineatus Roux, 1907		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	lineatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20408	Xenocalamus bicolor machadoi Laurent, 1954		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	machadoi	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20409	Xenocalamus bicolor maculatus Fitzsimons, 1937		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	maculatus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20410	Xenocalamus bicolor pernasutus (Werne, 1915)		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	bicolor	pernasutus	Infraspecies	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20411	Xenocalamus lineatus Roux, 1907		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	lineatus		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20412	Xenocalamus transvaalensis Methuen, 1919		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Aparallactinae		Xenocalamus	transvaalensis		Species	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
20413	Atractaspidinae		Animalia	Chordata	Vertebrata	Reptilia					Squamata	Serpentes			Atractaspididae	Atractaspidinae					Subfamily	http://www.jcvi.org/reptiles/search.php|http://reptile-database.reptarium.cz/|http://www.catalogueoflife.org/col/browse/tree|http://sarca.adu.org.za/|				
