TaxonID	Name	Source Reference	Language	Locality	CountryCode	IsPreferredName	TaxonRemarks
Turtur afer	Blouvlekduifie		Afrikaans				
Balaenoptera musculus 	Blouwalvis		Afrikaans				
Merops persicus	Blouwangbyvreter		Afrikaans				
Connochaetes taurinus	Blouwildebees		Afrikaans				
Papio hamadryas 	Bobbejaan		Afrikaans				
Sousa chinensis	Boggelrugdolfyn		Afrikaans				
Megaptera novaeangliae 	Boggelrugwalvis		Afrikaans				
Telophorus zeylonus	Bokmakierie		Afrikaans				
Peponocephala electra 	Bolkopdolfyn		Afrikaans				
Damaliscus pygargua pygargua	Bontebok		Afrikaans				
Recurvirostra avosetta	Bontelsie		Afrikaans				
Steganopus tricolor	Bontfraiingpoot		Afrikaans				
Tricholaema leucomelas	Bonthoutkapper		Afrikaans				
Vanellus armatus	Bontkiewiet		Afrikaans				
Equus quagga	Bontkwagga		Afrikaans				
Coturnix delegorguei	Bontkwartel		Afrikaans				
Motacilla aguimp	Bontkwikkie		Afrikaans				
Clamator jacobinus	Bontnuwejaarsvoël		Afrikaans				
Myrmecocichla arnoti	Bontpiek		Afrikaans				
Nilaus afer	Bontroklaksman		Afrikaans				
Ploceus cucullatus	Bontrugwewer		Afrikaans				
Equus quagga	Bontsebra		Afrikaans				
Oenanthe pleschanka	Bontskaapwagter		Afrikaans				
Calidris alpina	Bontstrandloper		Afrikaans				
Haematopus ostralegus	Bonttobie		Afrikaans				
Ceryle rudis	Bontvisvanger		Afrikaans				
Dendrohyrax arboreus 	Boomdas		Afrikaans				
Dendrohyrax arboreus 	Boomdassie		Afrikaans				
Paraxerus cepapi 	Boomeekhoring		Afrikaans				
Anthus trivialis	Boomkoester		Afrikaans				
Thallomys paedulcus 	Boomrot		Afrikaans				
Gerbillurus vallinus	Borselsterthaarpootnagmuis		Afrikaans				
Gerbillurus vallinus	Borselstertnagmuis		Afrikaans				
Tragelaphus scriptus	Bosbok		Afrikaans				
Buteo trizonatus	Bosjakkalsvoël		Afrikaans				
Otomys unisulcatus 	Boskaroorot		Afrikaans				
Petrodromus tetradactylus	Bosklaasneus		Afrikaans				
Lophotis ruficrista	Boskorhaan		Afrikaans				
Phyllastrephus terrestris	Boskrapper		Afrikaans				
Apaloderma narina	Bosloerie		Afrikaans				
Grammomys dolichurus 	Bosmuis		Afrikaans				
Ploceus bicolor	Bosmusikant		Afrikaans				
Otolemur crassicaudatus 	Bosnagaap		Afrikaans				
Dendroperdix sephaena	Bospatrys		Afrikaans				
Tringa glareola	Bosruiter		Afrikaans				
Myosorex varius 	Bosskeerbek		Afrikaans				
Myosorex varius 	Bos-skeerbekmuis		Afrikaans				
Strix woodfordii	Bosuil		Afrikaans				
Potomochoerus larvarus 	Bosvark		Afrikaans				
Elephantulus intufi 	Bosveld klaasneus		Afrikaans				
Pternistis swainsonii	Bosveldfisant		Afrikaans				
Anthus caffer	Bosveldkoester		Afrikaans				
Turnix sylvaticus	Bosveldkwarteltjie		Afrikaans				
Mirafra passerina	Bosveldlewerik		Afrikaans				
Poicephalus meyeri	Bosveldpapegaai		Afrikaans				
Rhinophus simulator	Bosveldsaalneusvlermuis		Afrikaans				
Gerbilliscus  leucogaster 	Bosveldse nagmuis		Afrikaans				
Sylvietta rufescens	Bosveldstompstert		Afrikaans				
Cisticola chiniana	Bosveldtinktinkie		Afrikaans				
Parisoma subcaeruleum	Bosveldtjeriktik		Afrikaans				
Halcyon senegalensis	Bosveldvisvanger		Afrikaans				
Graphiurus murinus	Boswaaierstertmuis		Afrikaans				
Laephotis botswanae	Botswana-langoorvlermuis		Afrikaans				
Gerbilliscus  brantsii 	Brant's gerbille Hoëveldse nagmuis		Afrikaans				
