ref_entity	Taxon	page
Q117188719	Alsinidendron	228
Q117188719	Alsinoideae	225
Q117188719	Althernanthera	89
Q117188719	Altingia	330
Q117188719	Altingioideae	522
Q117188719	Amaranthaceac	70
Q117188719	Amarantheae	80
Q117188719	Amaranthinae	80
Q117188719	Amaranthoideac	79
Q117188719	Amaranthus	81
Q117188719	Ambavia	123
Q117188719	Amblymitra	120
Q117188719	Amborella	93
Q117188719	A. trichopoda	92
Q117188719	Amborcllaceae	92
Q117188719	Ambuya	136
Q117188719	Ammocodon	482
Q117188719	Amoebophyllum	47
Q117188719	Ampalis	446
Q117188719	Ampelocera	609
Q117188719	Amphibolia	64
Q117188719	Amphipetalum	552
Q117188719	Anabasis	275
Q117188719	Anacampseros	551
Q117188719	A. papyracea	545
Q117188719	A. schoenlandii	547
Q117188719	Anacardiaceae	585
Q117188719	Anamirta	415
Q117188719	Anaueria	385
Q117188719	Anaxagorea	117
Q117188719	Ancana	121
Q117188719	Ancistrocactus	192
Q117188719	Anderssoniopiper	519
Q117188719	Andradea	480
Q117188719	Anemone	576
Q117188719	A. nemorosa	566
Q117188719	Anemoneae	575
Q117188719	Anemonopsis	574
Q117188719	Anemopsis	588
Q117188719	Aniba	383
Q117188719	Anibincae	375
Q117188719	Anisocalyx	54
Q117188719	Anisocereus	190
Q117188719	Anisocycla	409
Q117188719	Anisomeria	512
Q117188719	Ankyropetalum	231
Q117188719	Annamocarya	351
Q117188719	Annona	126
Q117188719	Annonaceae	559
Q117188719	Annonales	346
Q117188719	Annonoidcac	101
Q117188719	Anomianthus	120
Q117188719	Anomospermeae	405
Q117188719	Anomospermum	411
Q117188719	Anonidium	126
Q117188719	Anredera	146
Q117188719	A. scandens	139
Q117188719	Antegibbaeum	62
Q117188719	Anthochlamys	271
Q117188719	Antiaris	450
Q117188719	Antiaropsis	448
Q117188719	Antigonon	540
Q117188719	Antimima	65
Q117188719	Antizoma	416
Q117188719	Anulocaulis	640
Q117188719	Apama	135
Q117188719	Apatesia	52
Q117188719	Aphananthe	610
Q117188719	Aphanisma	265
Q117188719	Aphanostemma	578
Q117188719	Apiaceae	22
Q117188719	Apodantheae	561
Q117188719	Apodanthes	561
Q117188719	Apollonias	380
Q117188719	Aponogetonaceae	517
Q117188719	Aporocactus	179
Q117188719	Aptenia	47
Q117188719	Aptenioideae	46
Q117188719	Apterantha	81
Q117188719	Aquilegia	580
Q117188719	A. vulgaris	566
Q117188719	Araceae	517
Q117188719	Arcangelisia	412
Q117188719	Archamamelis	325
Q117188719	Archiatriplex	268
Q117188719	Archiboemeria	629
Q117188719	Archiclematis	576
Q117188719	Arcteranthis	577
Q117188719	Arctomecon	504
Q117188719	Areca	518
Q117188719	Arenaria	226
Q117188719	Arenifera	65
Q117188719	Arequipa	183
Q117188719	Arequipiopsis	183
Q117188719	Argemone	504
Q117188719	A. mexicana	497
Q117188719	Argyroderma	66
Q117188719	Aridaria	47
Q117188719	Ariocarpus	194
Q117188719	Aristocapsa	538
Q117188719	Aristolochia	137
Q117188719	A. decandra	132
Q117188719	Aristolochiaceae	129
Q117188719	Aristolochiales	6
Q117188719	Aristolochieae	135
Q117188719	Aristolochiinae	135
Q117188719	Aristolochioideae	134
Q117188719	Armatocereus	189
Q117188719	Armeria	530
Q117188719	Aromadendron	399
Q117188719	Arrojadoa	181
Q117188719	Artabotrys	118
Q117188719	A. hexapetalus	97
Q117188719	Arthraerua	85
