taxonID	furtherInformationURL	scientificName	taxonRank
1702342201	http://www.fao.org/fishery/species/3126/en	Selaroides leptolepis (Cuvier, 1833) 	species
2294200718	http://www.fao.org/fishery/species/2648/en	Homarus gammarus (Linnaeus, 1758) 	species
1170100501	http://www.fao.org/fishery/species/2072/en	Huso huso (Linnaeus, 1758) 	species
1210600212	http://www.fao.org/fishery/species/2919/en	Engraulis capensis (Gilchrist, 1913) 	species
2280100117	http://www.fao.org/fishery/species/2587/en	Penaeus kerathurus (Forsskål, 1775) 	species
1211200103	http://www.fao.org/fishery/species/2924/en	Ilisha elongata (Bennett, 1830) 	species
4060100606	http://www.fao.org/fishery/species/3579/en	Arctocephalus gazella (Peters, 1875) 	species
4220401401	http://www.fao.org/fishery/species/18235/en	Sotalia fluviatilis (Gervais, 1853) 	species
5310700502	http://www.fao.org/fishery/species/3605/en	Chelonia mydas (Linnaeus, 1758) 	species
1210501222	http://www.fao.org/fishery/species/2891/en	Sardinella zunasi (Bleeker, 1854) 	species
1311600102	http://www.fao.org/fishery/species/2949/en	Harpadon nehereus (Hamilton, 1822) 	species
1060600603	http://www.fao.org/fishery/species/2795/en	Alopias superciliosus (Lowe, 1841) 	species
1703900807	http://www.fao.org/fishery/species/2369/en	Pagellus bellottii (Steindachner, 1882) 	species
4230200101	http://www.fao.org/fishery/species/2743/en	Balaenoptera acutorostrata (Lacepède, 1804) 	species
1480500403	http://www.fao.org/fishery/species/2239/en	Merluccius australis (Hutton, 1872) 	species
4220100101	http://www.fao.org/fishery/species/18232/en	Platanista gangetica (Roxburgh, 1801) 	species
1750500101	http://www.fao.org/fishery/species/2465/en	Thyrsites atun (Euphrasen, 1791) 	species
3210501003	http://www.fao.org/fishery/species/3565/en	Illex argentinus (Castellanos, 1960) 	species
1090500604	http://www.fao.org/fishery/species/14018/en	Oxynotus caribbaeus (Cervigón, 1961) 	species
1090100706	http://www.fao.org/fishery/species/15413/en	Squalus rancureli (Fourmanoir &amp; Rivaton, 1979) 	species
4220500202	http://www.fao.org/fishery/species/18231/en	Phocoena spinipinnis (Burmeister, 1865) 	species
1480500405	http://www.fao.org/fishery/species/2240/en	Merluccius gayi (Guichenot, 1848) 	species
4060100602	http://www.fao.org/fishery/species/18201/en	Arctocephalus townsendi (Merriam, 1897) 	species
1702300401	http://www.fao.org/fishery/species/2306/en	Trachurus trachurus (Linnaeus, 1758) 	species
3160800309	http://www.fao.org/fishery/species/3516/en	Pecten maximus (Linnaeus, 1758) 	species
4220503301	http://www.fao.org/fishery/species/3597/en	Phocoenoides dalli (True, 1885) 	species
4220402601	http://www.fao.org/fishery/species/18217/en	Lissodelphis borealis (Peale, 1848) 	species
4220402806	http://www.fao.org/fishery/species/18211/en	Lagenorhynchus australis (Peale, 1848) 	species
1703906010	http://www.fao.org/fishery/species/3183/en	Dentex angolensis (Poll &amp; Maul, 1953) 	species
5310701801	http://www.fao.org/fishery/species/2748/en	Caretta caretta (Linnaeus, 1758) 	species
2280100105	http://www.fao.org/fishery/species/3402/en	Penaeus duorarum (Burkenroad, 1939) 	species
1480403201	http://www.fao.org/fishery/species/3019/en	Trisopterus esmarkii (Nilsson, 1855) 	species
1060403601	http://www.fao.org/fishery/species/14647/en	Pseudocarcharias kamoharai (Matsubara, 1936) 	species
4070200101	http://www.fao.org/fishery/species/18244/en	Ursus maritimus (Phipps, 1774) 	species
1430200201	http://www.fao.org/fishery/species/2203/en	Anguilla anguilla (Linnaeus, 1758) 	species
1210501301	http://www.fao.org/fishery/species/2893/en	Sardinops melanostictus (Schlegel, 1846) 	species
2280102201	http://www.fao.org/fishery/species/2600/en	Xiphopenaeus kroyeri (Heller, 1862) 	species
3161102002	http://www.fao.org/fishery/species/3543/en	Ruditapes philippinarum (Adams &amp; Reeve, 1850) 	species
1070200201	http://www.fao.org/fishery/species/13942/en	Orectolobus japonicus (Regan, 1906) 	species
1170100108	http://www.fao.org/fishery/species/10185/en	Acipenser oxyrinchus (Mitchill, 1815) 	species
1090300409	http://www.fao.org/fishery/species/15421/en	Squatina japonica (Bleeker, 1858) 	species
5310701701	http://www.fao.org/fishery/species/3606/en	Eretmochelys imbricata (Linnaeus, 1766) 	species
1703745705	http://www.fao.org/fishery/species/2365/en	Pseudotolithus elongatus (Bowdich, 1825) 	species
1210503002	http://www.fao.org/fishery/species/2095/en	Ethmalosa fimbriata (Bowdich, 1825) 	species
1090100808	http://www.fao.org/fishery/species/11181/en	Centrophorus niaukang (Teng, 1959) 	species
1703906011	http://www.fao.org/fishery/species/2375/en	Dentex congoensis (Poll, 1954) 	species
7872000208	http://www.fao.org/fishery/species/2790/en	Porphyra tenera (Kjellman, 1897) 	species
1480401601	http://www.fao.org/fishery/species/3017/en	Theragra chalcogramma (Pallas, 1811) 	species
4220201001	http://www.fao.org/fishery/species/18188/en	Mesoplodon pacificus (Longman, 1926) 	species
1830204504	http://www.fao.org/fishery/species/3363/en	Microstomus kitt (Walbaum, 1792) 	species
3070500202	http://www.fao.org/fishery/species/2656/en	Turbo cornutus (Lightfoot, ) 	species
1210600206	http://www.fao.org/fishery/species/2916/en	Engraulis anchoita (Hubbs &amp; Marini, 1935) 	species
1750101507	http://www.fao.org/fishery/species/3282/en	Scomberomorus maculatus (Mitchill, 1815) 	species
1090600901	http://www.fao.org/fishery/species/2844/en	Echinorhinus brucus (Bonnaterre, 1788) 	species
4060300601	http://www.fao.org/fishery/species/18215/en	Leptonychotes weddellii (Lesson, 1826) 	species
2280400205	http://www.fao.org/fishery/species/3426/en	Pandalus montagui (Leach, 1814) 	species
1170100111	http://www.fao.org/fishery/species/10177/en	Acipenser brevirostrum (Lesueur, 1818) 	species
1170100107	http://www.fao.org/fishery/species/10179/en	Acipenser fulvescens (Rafinesque, 1817) 	species
