Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13316446	SC_bolivia	Bolivia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_bolivia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/3e3d7e7f-21a1-4fd4-8fda-531ea379fe61
13316448	SC_botswana	Botswana Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_botswana.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/5ba515cf-60e3-4129-ac46-68e4d6291c30
13316450	SC_brazil	Brazil Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_brazil.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/4254da56-df17-43b3-a54e-65a4ec357369
13316452	SC_brunei	Brunei Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_brunei.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/e6ccad33-93d1-4723-8a38-e7b7c37512fd
13316454	SC_bulgaria	Bulgaria Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_bulgaria.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/9ba994e1-792c-4fd0-9030-b74392100663
13316456	SC_burkinafaso	Burkina Faso Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_burkinafaso.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/18a3c252-da9d-4ca3-a99a-6b16a2f62f44
13317349	SC_burundi	Burundi Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_burundi.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/87800168-cf35-4b51-a7df-4d66a6f7c62b
13316460	SC_cambodia	Cambodia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cambodia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/6f22e761-8d12-4260-aef6-fb7536835874
13316462	SC_cameroon	Cameroon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_cameroon.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7805190d-7b3d-4d22-a4da-3a2c924a55bc
13316466	SC_finland	Finland Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_finland.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/eed59897-17bc-4819-a561-1bee1c6c9646
13316474	SC_ethiopia	Ethiopia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_ethiopia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/370af13a-a5a7-4c59-9d7a-1d85ec78bcce
13316476	SC_estonia	Estonia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_estonia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/f95af6b0-1781-488e-bf43-50879359c3ae
13316478	SC_fiji	Fiji Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_fiji.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7f26a4b3-35c8-45a7-94fa-7ba9a3a0a456
