taxonID	furtherInformationURL	parentNameUsageID	scientificName	higherClassification	EOLid
869aca23909cef84625baa609c6690d3	http://www.protisten.de/gallery-ALL/1291-Hedriocystis-pellucida.html	granofilosea-clathrulinidae	Hedriocystis pellucida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Granofilosea|Clathrulinidae	
cercozoa-granofilosea		rhizaria-cercozoa	Granofilosea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa	
granofilosea-clathrulinidae		cercozoa-granofilosea	Clathrulinidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Granofilosea	
34909c286e608de07baf954cc511b75d	http://www.protisten.de/gallery-ALL/1292-Heleopera-petricola-amethystea.html	volnustoma-heleoperidae	Heleopera petricola var. amethystea	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Volnustoma|Heleoperidae	
glutinoconcha-volnustoma		arcellinida-glutinoconcha	Volnustoma	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha	
volnustoma-heleoperidae		glutinoconcha-volnustoma	Heleoperidae	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Volnustoma	
fbb130f3c37aac4874faf65e5f6def3a	http://www.protisten.de/gallery-ALL/1293-Heliomorpha-mutans.html	cryptofilida-mesofilidae	Heliomorpha mutans	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Granofilosea|Cryptofilida|Mesofilidae	
granofilosea-cryptofilida		cercozoa-granofilosea	Cryptofilida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Granofilosea	
cryptofilida-mesofilidae		granofilosea-cryptofilida	Mesofilidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Granofilosea|Cryptofilida	
0757d36d9ba26411cd8a853a2da61654	http://www.protisten.de/gallery-ALL/1314-Heliophrya-minima.html	evaginogenida-heliophryidae	Heliophrya minima	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Evaginogenida|Heliophryidae	
suctoria-evaginogenida		phyllopharyngea-suctoria	Evaginogenida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria	
evaginogenida-heliophryidae		suctoria-evaginogenida	Heliophryidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Evaginogenida	
ccda9a7b1f4f4f80945b176e62e649bf	http://www.protisten.de/gallery-ALL/1317-Heliophrya-rotunda.html	evaginogenida-heliophryidae	Heliophrya rotunda	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Evaginogenida|Heliophryidae	
74636bffc5c4af1178faf3fa52d7dd4d	http://www.protisten.de/gallery-ALL/1320-Heteronema-mutabile.html	heteronematales-peranemidae	Heteronema mutabile	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Heteronematina|Heteronematales|Peranemidae	
df6afa1d04efb65dfc4670b5c4929f07	http://www.protisten.de/gallery-ALL/1321-Hindakia-tetrachotoma.html	chlorellales-chlorellaceae	Hindakia tetrachotoma	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Trebouxiophyceae|Chlorellales|Chlorellaceae	
15386531e900cc9c1a0964e88ce0b8b6	http://www.protisten.de/gallery-ALL/1322-Hexarthra-spec.html	flosculariaceae-hexarthridae	Hexarthra	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Spiralia|Gnathifera|Syndermata|Rotifera|Flosculariaceae|Hexarthridae	43459
flosculariaceae-hexarthridae		rotifera-flosculariaceae	Hexarthridae	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Spiralia|Gnathifera|Syndermata|Rotifera|Flosculariaceae	
63492f36560546f5b00fdfa0ee845f5d	http://www.protisten.de/gallery-ALL/1324-Holosticha-pullaster.html	urostylida-holostichidae	Holosticha pullaster	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Stichotrichia|Urostylida|Holostichidae	
stichotrichia-urostylida		spirotrichea-stichotrichia	Urostylida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Stichotrichia	
urostylida-holostichidae		stichotrichia-urostylida	Holostichidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Stichotrichia|Urostylida	
8cff5bfb76833a327185c127cd7ddc23	http://www.protisten.de/gallery-ALL/1325-Hyalodiscus-spec.html	vampyrellida-hyalodiscidae	Hyalodiscus	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Endomyxa|Vampyrellida|Hyalodiscidae	41598595
rhizaria-endomyxa		sar_(stramenopiles,_alveolates,_rhizaria)-rhizaria	Endomyxa	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria	
