taxonID	furtherInformationURL	parentNameUsageID	scientificName	higherClassification	EOLid
cca346e3c523a12c1532c45d6de2ad98	http://www.protisten.de/gallery-ALL/2-Acanthoceras-spec.html	chaetocerotales-acanthocerotaceae	Acanthoceras zachariasii	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales|Acanthocerotaceae	
eucaryota			Eucaryota		
eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)		eucaryota	SAR (Stramenopiles, Alveolates, Rhizaria)	Eucaryota	
sar_(stramenopiles,_alveolates,_rhizaria)-stramenopiles		eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)	Stramenopiles	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)	
stramenopiles-ochrophyta		sar_(stramenopiles,_alveolates,_rhizaria)-stramenopiles	Ochrophyta	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles	
ochrophyta-bacillariophyta		stramenopiles-ochrophyta	Bacillariophyta	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta	
bacillariophyta-coscinodiscophyceae		ochrophyta-bacillariophyta	Coscinodiscophyceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta	
coscinodiscophyceae-coscinodiscophycidae		bacillariophyta-coscinodiscophyceae	Coscinodiscophycidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae	
coscinodiscophycidae-chaetocerotales		coscinodiscophyceae-coscinodiscophycidae	Chaetocerotales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae	
chaetocerotales-acanthocerotaceae		coscinodiscophycidae-chaetocerotales	Acanthocerotaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales	
ddd0f06697e19b1330d5a2fee591b29b	http://www.protisten.de/gallery-ALL/3-Acanthoceras-spec.html	chaetocerotales-acanthocerotaceae	Acanthoceras	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Chaetocerotales|Acanthocerotaceae	
56a7fcec171be18cf15ae3cb4f742497	http://www.protisten.de/gallery-ALL/4-Acanthocystis-pectinata.html	acanthocystida-acanthocystidae	Acanthocystis pectinata	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
eucaryota-haptista		eucaryota	Haptista	Eucaryota	
haptista-centroplasthelida		eucaryota-haptista	Centroplasthelida	Eucaryota|Haptista	
centroplasthelida-panacanthocystida		haptista-centroplasthelida	Panacanthocystida	Eucaryota|Haptista|Centroplasthelida	
panacanthocystida-acanthocystida		centroplasthelida-panacanthocystida	Acanthocystida	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida	
acanthocystida-acanthocystidae		panacanthocystida-acanthocystida	Acanthocystidae	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida	
a4e8176de1809d071fa83e2dd03aca22	http://www.protisten.de/gallery-ALL/5-Acanthocystis-penardi.html	acanthocystida-acanthocystidae	Acanthocystis penardi	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
7700a06ff77569068ee5c820482abebd	http://www.protisten.de/gallery-ALL/7-Acanthocystis-turfacea.html	acanthocystida-acanthocystidae	Acanthocystis turfacea	Eucaryota|Haptista|Centroplasthelida|Panacanthocystida|Acanthocystida|Acanthocystidae	
b4d6568d6dd83f57140df8d8a301beaa	http://www.protisten.de/gallery-ALL/10-Achnanthes-spec.html	achnanthales-achnanthaceae	Achnanthes	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales|Achnanthaceae	
bacillariophyta-bacillariophytina		ochrophyta-bacillariophyta	Bacillariophytina	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta	
bacillariophytina-bacillariophycae		bacillariophyta-bacillariophytina	Bacillariophycae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina	
bacillariophycae-achnanthales		bacillariophytina-bacillariophycae	Achnanthales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae	
achnanthales-achnanthaceae		bacillariophycae-achnanthales	Achnanthaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales	
5b3a9f486706ae2939a3e6d917417e7a	http://www.protisten.de/gallery-ALL/11-Achnanthes-longipes.html	achnanthales-achnanthaceae	Achnanthes longipes	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophytina|Bacillariophycae|Achnanthales|Achnanthaceae	
57f7bac204917eb1be5eeb57014e4409	http://www.protisten.de/gallery-ALL/19-Achromatium-oxaliferum.html	thiotrichales-thiotrichaceae	Achromatium oxaliferum	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Thiotrichaceae	
bacteria			Bacteria		
bacteria-proteobacteria		bacteria	Proteobacteria	Bacteria	
proteobacteria-gammaproteobacteria		bacteria-proteobacteria	Gammaproteobacteria	Bacteria|Proteobacteria	
gammaproteobacteria-thiotrichales		proteobacteria-gammaproteobacteria	Thiotrichales	Bacteria|Proteobacteria|Gammaproteobacteria	
thiotrichales-thiotrichaceae		gammaproteobacteria-thiotrichales	Thiotrichaceae	Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales	
e56fff686a66be5977bdd8d0a44d8ba1	http://www.protisten.de/gallery-ALL/21-Acineta-spec.html	endogenida-acinetidae	Acineta spec	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
sar_(stramenopiles,_alveolates,_rhizaria)-alveolata		eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)	Alveolata	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)	
alveolata-ciliophora		sar_(stramenopiles,_alveolates,_rhizaria)-alveolata	Ciliophora	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata	
ciliophora-intramacronucleata		alveolata-ciliophora	Intramacronucleata	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora	
intramacronucleata-phyllopharyngea		ciliophora-intramacronucleata	Phyllopharyngea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata	
phyllopharyngea-suctoria		intramacronucleata-phyllopharyngea	Suctoria	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea	
suctoria-endogenida		phyllopharyngea-suctoria	Endogenida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria	
endogenida-acinetidae		suctoria-endogenida	Acinetidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida	
a2e6bc7f3bdded651aa07e5adddd89e3	http://www.protisten.de/gallery-ALL/22-Acineta-flava.html	endogenida-acinetidae	Acineta flava	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
15b5e67f3734d1829f0a5cc9d7293590	http://www.protisten.de/gallery-ALL/23-Acineta-tuberosa.html	endogenida-acinetidae	Acineta tuberosa	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Phyllopharyngea|Suctoria|Endogenida|Acinetidae	
19326d9125c5b1c8bc2ca1517368b3e9	http://www.protisten.de/gallery-ALL/31-Actinophrys-sol.html	stramenopiles-actinophryidae	Actinophrys sol	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Actinophryidae	
stramenopiles-actinophryidae		sar_(stramenopiles,_alveolates,_rhizaria)-stramenopiles	Actinophryidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles	
18acad8c56846def31ae8f9f4d06b19e	http://www.protisten.de/gallery-ALL/57-Actinoptychus-senarius.html	coscinodiscales-heliopeltaceae	Actinoptychus senarius	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Coscinodiscanae|Coscinodiscales|Heliopeltaceae	
coscinodiscophycidae-coscinodiscanae		coscinodiscophyceae-coscinodiscophycidae	Coscinodiscanae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae	
coscinodiscanae-coscinodiscales		coscinodiscophycidae-coscinodiscanae	Coscinodiscales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Coscinodiscanae	
coscinodiscales-heliopeltaceae		coscinodiscanae-coscinodiscales	Heliopeltaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Coscinodiscophyceae|Coscinodiscophycidae|Coscinodiscanae|Coscinodiscales	
8635f0b7e7edd19d51ebb5521ee74c5a	http://www.protisten.de/gallery-ALL/58-Actinosphaerium-eichhornii.html	stramenopiles-actinophryidae	Actinosphaerium eichhornii	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Actinophryidae	
9b415c13f3be23e3419e0fcb3864b491	http://www.protisten.de/gallery-ALL/66-Actinotaenium-cucurbitinum.html	desmidiales-desmidiaceae	Actinotaenium cucurbitinum	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Zygnematophyceae|Zygnematophycidae|Desmidiales|Desmidiaceae	
eucaryota-archaeplastida		eucaryota	Archaeplastida	Eucaryota	
archaeplastida-chloroplastida		eucaryota-archaeplastida	Chloroplastida	Eucaryota|Archaeplastida	
chloroplastida-streptophyta		archaeplastida-chloroplastida	Streptophyta	Eucaryota|Archaeplastida|Chloroplastida	
streptophyta-zygnematophyceae		chloroplastida-streptophyta	Zygnematophyceae	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta	
zygnematophyceae-zygnematophycidae		streptophyta-zygnematophyceae	Zygnematophycidae	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Zygnematophyceae	
zygnematophycidae-desmidiales		zygnematophyceae-zygnematophycidae	Desmidiales	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Zygnematophyceae|Zygnematophycidae	
desmidiales-desmidiaceae		zygnematophycidae-desmidiales	Desmidiaceae	Eucaryota|Archaeplastida|Chloroplastida|Streptophyta|Zygnematophyceae|Zygnematophycidae|Desmidiales	
75801fb5b05266c5112c298e3b249ba0	http://www.protisten.de/gallery-ALL/69-Acutodesmus-raciborskii.html	sphaeropleales-scenedesmaceae	Acutodesmus raciborskii	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Scenedesmaceae	
chloroplastida-chlorophyta		archaeplastida-chloroplastida	Chlorophyta	Eucaryota|Archaeplastida|Chloroplastida	
chlorophyta-chlorophyceae		chloroplastida-chlorophyta	Chlorophyceae	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta	
chlorophyceae-sphaeropleales		chlorophyta-chlorophyceae	Sphaeropleales	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae	
sphaeropleales-scenedesmaceae		chlorophyceae-sphaeropleales	Scenedesmaceae	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales	
f022bdfa8b15060fd79b9fcbdc8aac44	http://www.protisten.de/gallery-ALL/70-Amoeba-proteus.html	euamoebida-amoebidae	Amoeba proteus	Eucaryota|Amoebozoa|Tubulinea|Elardia|Euamoebida|Amoebidae	
eucaryota-amoebozoa		eucaryota	Amoebozoa	Eucaryota	
amoebozoa-tubulinea		eucaryota-amoebozoa	Tubulinea	Eucaryota|Amoebozoa	
tubulinea-elardia		amoebozoa-tubulinea	Elardia	Eucaryota|Amoebozoa|Tubulinea	
elardia-euamoebida		tubulinea-elardia	Euamoebida	Eucaryota|Amoebozoa|Tubulinea|Elardia	
euamoebida-amoebidae		elardia-euamoebida	Amoebidae	Eucaryota|Amoebozoa|Tubulinea|Elardia|Euamoebida	
c00ff6f0706a6027ba8a5b60589caba8	http://www.protisten.de/gallery-ALL/2660-Amphizonella-violacea.html	tubulinea-corycidia	Amphizonella violacea	Eucaryota|Amoebozoa|Tubulinea|Corycidia	
tubulinea-corycidia		amoebozoa-tubulinea	Corycidia	Eucaryota|Amoebozoa|Tubulinea	
dfbe3d350bd122563ea3e3328311bb18	http://www.protisten.de/gallery-ALL/73-Amphora-ovalis.html	thalassiophysales-catenulaceae	Amphora ovalis	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Thalassiophysales|Catenulaceae	
bacillariophyta-bacillariophyceae		ochrophyta-bacillariophyta	Bacillariophyceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta	
bacillariophyceae-bacillariophycidae		bacillariophyta-bacillariophyceae	Bacillariophycidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae	
bacillariophycidae-thalassiophysales		bacillariophyceae-bacillariophycidae	Thalassiophysales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae|Bacillariophycidae	
thalassiophysales-catenulaceae		bacillariophycidae-thalassiophysales	Catenulaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Bacillariophyta|Bacillariophyceae|Bacillariophycidae|Thalassiophysales	
4688b01321c6bca72557db8ffc53a7c1	http://www.protisten.de/gallery-ALL/78-Anabaena-spec.html	nostocales-nostocaceae	Anabaena	Bacteria|Cyanobacteria|Nostocales|Nostocaceae	
bacteria-cyanobacteria		bacteria	Cyanobacteria	Bacteria	
cyanobacteria-nostocales		bacteria-cyanobacteria	Nostocales	Bacteria|Cyanobacteria	
nostocales-nostocaceae		cyanobacteria-nostocales	Nostocaceae	Bacteria|Cyanobacteria|Nostocales	
ff0acfb23b25a15f41b6c6a95157cc34	http://www.protisten.de/gallery-ALL/81-Anabaena-lapponica.html	nostocales-nostocaceae	Anabaena lapponica	Bacteria|Cyanobacteria|Nostocales|Nostocaceae	
577b44edd1359fed4b4f1868e13f811e	http://www.protisten.de/gallery-ALL/82-Anabaenopsis-hungarica.html	nostocales-aphanizomenonaceae	Anabaenopsis hungarica	Bacteria|Cyanobacteria|Nostocales|Aphanizomenonaceae	
nostocales-aphanizomenonaceae		cyanobacteria-nostocales	Aphanizomenonaceae	Bacteria|Cyanobacteria|Nostocales	
9299bde10756dcca6b9cf63e9dc1c438	http://www.protisten.de/gallery-ALL/84-Anabaenopsis-milleri.html	nostocales-aphanizomenonaceae	Anabaenopsis milleri	Bacteria|Cyanobacteria|Nostocales|Aphanizomenonaceae	
6222e8df7af4b74f5bcb86f3ba2e66e1	http://www.protisten.de/gallery-ALL/85-Anagnostidinema-lemmermannii.html	oscillatoriales-coleofasciculaceae	Anagnostidinema lemmermannii	Bacteria|Cyanobacteria|Oscillatoriales|Coleofasciculaceae	
cyanobacteria-oscillatoriales		bacteria-cyanobacteria	Oscillatoriales	Bacteria|Cyanobacteria	
oscillatoriales-coleofasciculaceae		cyanobacteria-oscillatoriales	Coleofasciculaceae	Bacteria|Cyanobacteria|Oscillatoriales	
7243a36132da632ba9e5bf05cc20581e	http://www.protisten.de/gallery-ALL/86-Anisonema-spec.html	heteronematales-peranemidae	Anisonema	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Heteronematina|Heteronematales|Peranemidae	
eucaryota-excavates		eucaryota	Excavates	Eucaryota	
excavates-discoba		eucaryota-excavates	Discoba	Eucaryota|Excavates	
discoba-euglenozoa		excavates-discoba	Euglenozoa	Eucaryota|Excavates|Discoba	
euglenozoa-euglenida		discoba-euglenozoa	Euglenida	Eucaryota|Excavates|Discoba|Euglenozoa	
euglenida-spirocuta		euglenozoa-euglenida	Spirocuta	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida	
spirocuta-heteronematina		euglenida-spirocuta	Heteronematina	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta	
heteronematina-heteronematales		spirocuta-heteronematina	Heteronematales	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Heteronematina	
heteronematales-peranemidae		heteronematina-heteronematales	Peranemidae	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Heteronematina|Heteronematales	
d0c3034f9639306f172c07c0584f635c	http://www.protisten.de/gallery-ALL/87-Anisonema-acinus.html	heteronematales-peranemidae	Anisonema acinus	Eucaryota|Excavates|Discoba|Euglenozoa|Euglenida|Spirocuta|Heteronematina|Heteronematales|Peranemidae	
a06e51744417c2e6c73248a6261d6554	http://www.protisten.de/gallery-ALL/88-Ankistrodesmus-spec.html	sphaeropleales-selenastraceae	Ankistrodesmus	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Selenastraceae	
sphaeropleales-selenastraceae		chlorophyceae-sphaeropleales	Selenastraceae	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales	
8958473f1ba7d90af808fa99f0f11491	http://www.protisten.de/gallery-ALL/89-Ankistrodesmus-falcatus.html	sphaeropleales-selenastraceae	Ankistrodesmus falcatus	Eucaryota|Archaeplastida|Chloroplastida|Chlorophyta|Chlorophyceae|Sphaeropleales|Selenastraceae	
9ca609b2865a44f9738b25443495af04	http://www.protisten.de/gallery-ALL/90-Anthophysa-vegetans.html	chromulinales-chromulinaceae	Anthophysa vegetans	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Chrysophyceae|Chromulinales|Chromulinaceae	898507
ochrophyta-chrysophyceae		stramenopiles-ochrophyta	Chrysophyceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta	
chrysophyceae-chromulinales		ochrophyta-chrysophyceae	Chromulinales	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Chrysophyceae	
chromulinales-chromulinaceae		chrysophyceae-chromulinales	Chromulinaceae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Stramenopiles|Ochrophyta|Chrysophyceae|Chromulinales	
8cbd459ad32ce3a8362a9945f234abc4	http://www.protisten.de/gallery-ALL/95-Aphanizomenon-spec.html	nostocales-aphanizomenonaceae	Aphanizomenon	Bacteria|Cyanobacteria|Nostocales|Aphanizomenonaceae	
a0b7dd575c2bc1c4f7656cd3c5548fa0	http://www.protisten.de/gallery-ALL/96-Aphanizomenon-flos-aquae.html	nostocales-aphanizomenonaceae	Aphanizomenon flos-aquae	Bacteria|Cyanobacteria|Nostocales|Aphanizomenonaceae	
1cfba392a3703f7aafcd33aceede57c5	http://www.protisten.de/gallery-ALL/105-Aphanocapsa-elachista.html	synechococcales-merismopediaceae	Aphanocapsa elachista	Bacteria|Cyanobacteria|Synechococcales|Merismopediaceae	
cyanobacteria-synechococcales		bacteria-cyanobacteria	Synechococcales	Bacteria|Cyanobacteria	
synechococcales-merismopediaceae		cyanobacteria-synechococcales	Merismopediaceae	Bacteria|Cyanobacteria|Synechococcales	
0c22f3bdac9966f1024c440fd9970a23	http://www.protisten.de/gallery-ALL/107-Aphanothece-spec.html	chroococcales-aphanothecaceae	Aphanothece	Bacteria|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Aphanothecaceae	
cyanobacteria-oscillatoriophycideae		bacteria-cyanobacteria	Oscillatoriophycideae	Bacteria|Cyanobacteria	
oscillatoriophycideae-chroococcales		cyanobacteria-oscillatoriophycideae	Chroococcales	Bacteria|Cyanobacteria|Oscillatoriophycideae	
chroococcales-aphanothecaceae		oscillatoriophycideae-chroococcales	Aphanothecaceae	Bacteria|Cyanobacteria|Oscillatoriophycideae|Chroococcales	
6df692e7ce7cc011b70d88e8bbf9028e	http://www.protisten.de/gallery-ALL/109-Aphanothece-microscopica.html	chroococcales-aphanothecaceae	Aphanothece microscopica	Bacteria|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Aphanothecaceae	
d14ae9b0beb843f5a1e618e78f430b82	http://www.protisten.de/gallery-ALL/110-Aphanothece-stagnina.html	chroococcales-aphanothecaceae	Aphanothece stagnina	Bacteria|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Aphanothecaceae	
4deb65f2c8f03e7e0031e42bb0d81fcd	http://www.protisten.de/gallery-ALL/113-Arcella.html	sphaerothecina-arcellidae	Arcella	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Sphaerothecina|Arcellidae	
elardia-arcellinida		tubulinea-elardia	Arcellinida	Eucaryota|Amoebozoa|Tubulinea|Elardia	
arcellinida-glutinoconcha		elardia-arcellinida	Glutinoconcha	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida	
glutinoconcha-sphaerothecina		arcellinida-glutinoconcha	Sphaerothecina	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha	
sphaerothecina-arcellidae		glutinoconcha-sphaerothecina	Arcellidae	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Sphaerothecina	
824053f8d2fcaba6822e584c35844dd0	http://www.protisten.de/gallery-ALL/118-Arcella-gibbosa.html	sphaerothecina-arcellidae	Arcella gibbosa	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Sphaerothecina|Arcellidae	
6ed00e908038a1279711fafd3a7e962c	http://www.protisten.de/gallery-ALL/125-Arcella-hemisphaerica-undulata.html	sphaerothecina-arcellidae	Arcella hemisphaerica	Eucaryota|Amoebozoa|Tubulinea|Elardia|Arcellinida|Glutinoconcha|Sphaerothecina|Arcellidae	
5f7b89ff79eddb0c4ebcb40d8d1020bf	http://www.protisten.de/gallery-ALL/129-Aspidisca-pulcherrima-baltica.html	euplotina-aspidiscidae	Aspidisca pulcherrima	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Hypotrichia|Euplotida|Euplotina|Aspidiscidae	
intramacronucleata-spirotrichea		ciliophora-intramacronucleata	Spirotrichea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata	
spirotrichea-hypotrichia		intramacronucleata-spirotrichea	Hypotrichia	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea	
hypotrichia-euplotida		spirotrichea-hypotrichia	Euplotida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Hypotrichia	
euplotida-euplotina		hypotrichia-euplotida	Euplotina	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Hypotrichia|Euplotida	
euplotina-aspidiscidae		euplotida-euplotina	Aspidiscidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Intramacronucleata|Spirotrichea|Hypotrichia|Euplotida|Euplotina	
660fe91de57ecf9d27adfee3c6423951	http://www.protisten.de/gallery-ALL/132-Ascobius-faure-fremieti.html	heterotrichida-folliculinidae	Ascobius faure-fremieti	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Heterotrichea|Heterotrichida|Folliculinidae	
ciliophora-postciliodesmatophora		alveolata-ciliophora	Postciliodesmatophora	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora	
postciliodesmatophora-heterotrichea		ciliophora-postciliodesmatophora	Heterotrichea	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora	
heterotrichea-heterotrichida		postciliodesmatophora-heterotrichea	Heterotrichida	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Heterotrichea	
heterotrichida-folliculinidae		heterotrichea-heterotrichida	Folliculinidae	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Alveolata|Ciliophora|Postciliodesmatophora|Heterotrichea|Heterotrichida	
78a6df65c359854788a304aac1f27866	http://www.protisten.de/gallery-ALL/134-Asplanchna-priodonta.html	ploima-asplanchnidae	Asplanchna priodonta	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Triploblasts|Rotifera|Ploima|Asplanchnidae	
eucaryota-opisthokonta		eucaryota	Opisthokonta	Eucaryota	
opisthokonta-metazoa		eucaryota-opisthokonta	Metazoa	Eucaryota|Opisthokonta	
metazoa-bilateria		opisthokonta-metazoa	Bilateria	Eucaryota|Opisthokonta|Metazoa	
bilateria-protostomia		metazoa-bilateria	Protostomia	Eucaryota|Opisthokonta|Metazoa|Bilateria	
protostomia-triploblasts		bilateria-protostomia	Triploblasts	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia	
triploblasts-rotifera		protostomia-triploblasts	Rotifera	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Triploblasts	
rotifera-ploima		triploblasts-rotifera	Ploima	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Triploblasts|Rotifera	
ploima-asplanchnidae		rotifera-ploima	Asplanchnidae	Eucaryota|Opisthokonta|Metazoa|Bilateria|Protostomia|Triploblasts|Rotifera|Ploima	
aed1af0b023ceaaab9fa4ac31a14b24d	http://www.protisten.de/gallery-ALL/135-Assulina-seminulum.html	euglyphina-assulinidae	Assulina seminulum	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria|Cercozoa|Imbricatea|Silicofilosea|Euglyphida|Euglyphina|Assulinidae	
sar_(stramenopiles,_alveolates,_rhizaria)-rhizaria		eucaryota-sar_(stramenopiles,_alveolates,_rhizaria)	Rhizaria	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)	
rhizaria-cercozoa		sar_(stramenopiles,_alveolates,_rhizaria)-rhizaria	Cercozoa	Eucaryota|SAR (Stramenopiles, Alveolates, Rhizaria)|Rhizaria	
