Label	URI
Ptolemy, J.	http://eol.org/schema/terms/Ptolemy_J
Hammond, J.	http://eol.org/schema/terms/Hammond_J
Mugue, N.	http://eol.org/schema/terms/Mugue_N
Zhu, B.	http://eol.org/schema/terms/Zhu_B
Cassola, F.	http://eol.org/schema/terms/Cassola_F
Gerrie, R.	http://eol.org/schema/terms/Gerrie_R
Kennerley, R.	http://eol.org/schema/terms/Kennerley_R
Schlitter, D.	http://eol.org/schema/terms/Schlitter_D
Shenbrot, G.	http://eol.org/schema/terms/Shenbrot_G
Palmer, G.	http://eol.org/schema/terms/Palmer_G
Midgley, J.	http://eol.org/schema/terms/Midgley_J
Pence, G.	http://eol.org/schema/terms/Pence_G
Avery, M.	http://eol.org/schema/terms/Avery_M
Child, M.F.	http://eol.org/schema/terms/Child_MF
Roach, N.	http://eol.org/schema/terms/Roach_N
Ramanamanjato, J.-B.	http://eol.org/schema/terms/Ramanamanjato_J-B
Randriamahazo, H.	http://eol.org/schema/terms/Randriamahazo_H
Cox, N.A.	http://eol.org/schema/terms/Cox_NA
Rakotondrazafy, N.A.	http://eol.org/schema/terms/Rakotondrazafy_NA
Rakotondravony, H.	http://eol.org/schema/terms/Rakotondravony_H
Gimenez Dixon, M.	http://eol.org/schema/terms/Gimenez_Dixon_M
Ormes, M.	http://eol.org/schema/terms/Ormes_M
Cordeiro, J.	http://eol.org/schema/terms/Cordeiro_J
Tognelli, M.F.	http://eol.org/schema/terms/Tognelli_MF
Cameron, R.	http://eol.org/schema/terms/Cameron_R
Teixeira, D.	http://eol.org/schema/terms/Teixeira_D
Abreu, C.	http://eol.org/schema/terms/Abreu_C
Bogan, A.E.	http://eol.org/schema/terms/Bogan_AE
Hoffmann, M.	http://eol.org/schema/terms/Hoffmann_M
Perez, A.M.	http://eol.org/schema/terms/Perez_AM
Acevedo, M.	http://eol.org/schema/terms/Acevedo_M
Ariano-Sánchez, D.	http://eol.org/schema/terms/Ariano-Sánchez_D
Johnson, J.	http://eol.org/schema/terms/Johnson_J
