Label	URI
Bryanna Mariel Andrews	http://eol.org/schema/terms/Amphibiaweb_Bryanna_Mariel_Andrews
C. Michael Hogan	http://eol.org/schema/terms/Amphibiaweb_C_Michael_Hogan
C. Mo	http://eol.org/schema/terms/Amphibiaweb_C_Mo
C. Morrison	http://eol.org/schema/terms/Amphibiaweb_C_Morrison
Cailin O'Connor	http://eol.org/schema/terms/Amphibiaweb_Cailin_O'Connor
Candice Rose	http://eol.org/schema/terms/Amphibiaweb_Candice_Rose
Carlos R. Infante	http://eol.org/schema/terms/Amphibiaweb_Carlos_R_Infante
Carolina Polaña	http://eol.org/schema/terms/Amphibiaweb_Carolina_Polaña
Catherine Aguilar	http://eol.org/schema/terms/Amphibiaweb_Catherine_Aguilar
Celeste Dodge	http://eol.org/schema/terms/Amphibiaweb_Celeste_Dodge
Charles P. McCormick	http://eol.org/schema/terms/Amphibiaweb_Charles_P_McCormick
Charlie Ramos	http://eol.org/schema/terms/Amphibiaweb_Charlie_Ramos
Charling Huang	http://eol.org/schema/terms/Amphibiaweb_Charling_Huang
Chelsea Deerinck	http://eol.org/schema/terms/Amphibiaweb_Chelsea_Deerinck
Chelsea Ohanesian	http://eol.org/schema/terms/Amphibiaweb_Chelsea_Ohanesian
Cheng (Lily) Li	http://eol.org/schema/terms/Amphibiaweb_Cheng_Lily_Li
Chih Wang	http://eol.org/schema/terms/Amphibiaweb_Chih_Wang
Christin Hong	http://eol.org/schema/terms/Amphibiaweb_Christin_Hong
Christina Kang	http://eol.org/schema/terms/Amphibiaweb_Christina_Kang
Christina Torres	http://eol.org/schema/terms/Amphibiaweb_Christina_Torres
Christine Isabel Javier	http://eol.org/schema/terms/Amphibiaweb_Christine_Isabel_Javier
Christine Lu	http://eol.org/schema/terms/Amphibiaweb_Christine_Lu
Christopher Streeter	http://eol.org/schema/terms/Amphibiaweb_Christopher_Streeter
Cindy Liu	http://eol.org/schema/terms/Amphibiaweb_Cindy_Liu
Claire Wohlers	http://eol.org/schema/terms/Amphibiaweb_Claire_Wohlers
Clare Morrison	http://eol.org/schema/terms/Amphibiaweb_Clare_Morrison
Claudia Keller	http://eol.org/schema/terms/Amphibiaweb_Claudia_Keller
Colleen Kamoroff	http://eol.org/schema/terms/Amphibiaweb_Colleen_Kamoroff
Connor M. French	http://eol.org/schema/terms/Amphibiaweb_Connor_M_French
Corrina Kamoroff	http://eol.org/schema/terms/Amphibiaweb_Corrina_Kamoroff
Courtenay Harding	http://eol.org/schema/terms/Amphibiaweb_Courtenay_Harding
Craig Guyer	http://eol.org/schema/terms/Amphibiaweb_Craig_Guyer
D. Buckley	http://eol.org/schema/terms/Amphibiaweb_D_Buckley
D. Driscoll	http://eol.org/schema/terms/Amphibiaweb_D_Driscoll
