name	uid
Heterokonta	d1cf2f54-560c-4ca5-9885-050e94a41153
Glaucocystophyceae	a15d0920-8621-4ff8-9257-8645af2beaa9
Haptophyceae	28efdbe0-1b9f-4fea-9767-7433cfc64594
Amphibia	ba78dc32-122e-443e-9c18-38d59c1e055c
Animalia	b04981ef-538e-40ba-b501-a6868f1b4cfb
cellular organisms	e61a111a-621e-4155-b320-6f8f2c78003d
Plantae	773f89c1-841a-4bd6-949c-35c2bc9538c4
