Page ID	eol_pk	Value URI	Label
347438	R245-PK17602600	http://www.geonames.org/1062947	PRM and REP
347437	R96-PK42619033	http://eol.org/schema/terms/Madagascar_lowland_forests	REP
347437	R96-PK42619034	http://eol.org/schema/terms/Madagascar_subhumid_forests	REP
347437	R98-PK14296813	http://www.marineregions.org/gazetteer.php?p=details&id=1904	REP
347437	R441-PK14658690	http://www.marineregions.org/gazetteer.php?p=details&id=4261	REP
127498	R96-PK42778717	http://eol.org/schema/terms/Madagascar_lowland_forests	PRM and REP
4441541	R336-PK19108180	http://www.geonames.org/298795	REP
4441541	R400-PK16181194	http://www.geonames.org/3017382	REP
4441546	R344-PK19357981	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	PRM and REP
4441517	R253-PK17863142	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	REP
4441517	R344-PK19324880	http://www.marineregions.org/gazetteer.php?p=details&id=united_states	REP
4441518	R315-PK18763064	http://www.geonames.org/953987	REP
4441518	R407-PK11382883	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
4441519	R288-PK15396485	http://www.geonames.org/1814991	PRM and REP
925982	R231-PK17507520	http://www.geonames.org/192950	REP
925982	R156-PK15439190	http://www.geonames.org/3351879	REP
925982	R174-PK15781533	http://www.geonames.org/933860	REP
925982	R315-PK18748279	http://www.geonames.org/953987	REP
4443381	R265-PK18052992	http://www.geonames.org/2542007	REP
4443381	R406-PK11162693	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
4441329	R149-PK6115201	http://www.geonames.org/357994	PRM and REP
24184911	R400-PK16181593	http://www.geonames.org/3017382	PRM and REP
4443420	R265-PK18053018	http://www.geonames.org/2542007	REP
4443420	R406-PK11157593	http://www.marineregions.org/gazetteer.php?p=details&id=1912	REP
4443408	R253-PK17874968	http://www.marineregions.org/gazetteer.php?p=details&id=mexico	PRM and REP
42400878	R315-PK18777032	http://www.geonames.org/953987	REP
42400878	R407-PK11408522	http://www.marineregions.org/gazetteer.php?p=details&id=1914	REP
925983	R353-PK19434878	http://www.geonames.org/878675	REP
925983	R174-PK15781562	http://www.geonames.org/933860	REP
925983	R321-PK18831299	http://www.geonames.org/934841	REP
925983	R315-PK18743268	http://www.geonames.org/953987	REP
